"gene","knockdown","theo_phenotype","obs_phenotype","behavior","class","initial_freq","counts_bin1","barcodeid","freqs_bin1","rel_freqs_bin1","freqs_bin2","counts_bin2","rel_freqs_bin2","log2fc_bin2"
1,1.0,0.6409534877288895,0.5864743887061374,"linear","increasing",7.19054956343092e-5,33.5,1,6.733668341708543e-6,0.11074380165289258,0.00024493346980552713,1196.5,3.847266881028939,5.118536053112081
1,1.0,0.6409534877288895,0.36900073256402793,"linear","increasing",0.00014894709809964047,41.5,2,8.341708542713568e-6,0.1371900826446281,0.0005380757420675537,2628.5,8.45176848874598,5.945005150256305
1,1.0,0.6409534877288895,0.7285754903417027,"linear","increasing",5.1361068310220854e-5,0.5,3,1.0050251256281407e-7,0.0016528925619834713,0.00019600818833162743,957.5,3.0787781350482315,10.863149238843674
1,1.0,0.6409534877288895,0.5572823738781201,"linear","increasing",3.59527478171546e-5,0.5,4,1.0050251256281407e-7,0.0016528925619834713,0.00013950870010235415,681.5,2.1913183279742765,10.372590408836563
1,1.0,0.6409534877288895,0.30168509630266116,"linear","increasing",5.1361068310220854e-5,0.5,5,1.0050251256281407e-7,0.0016528925619834713,0.00021381780962128965,1044.5,3.358520900321543,10.988617339098463
1,0.07921779382516692,0.05077492124242882,0.0445343795127217,"linear","increasing",2.054442732408834e-5,51.5,6,1.035175879396985e-5,0.17024793388429754,2.85568065506653e-5,139.5,0.4485530546623794,1.3976413466773232
1,1.0,0.6409534877288895,0.5449587142411685,"linear","increasing",0.00016435541859270673,145.5,7,2.9246231155778896e-5,0.48099173553719016,0.0005485158648925281,2679.5,8.615755627009646,4.162893319834363
1,1.0,0.6409534877288895,0.11296495202611706,"linear","increasing",8.731381612737545e-5,83.5,8,1.678391959798995e-5,0.27603305785123966,0.00029529170931422724,1442.5,4.638263665594856,4.070671873090148
1,1.0,0.6409534877288895,0.5692070978383219,"linear","increasing",0.00016949152542372882,60.5,9,1.2160804020100503e-5,0.2,0.000623439099283521,3045.5,9.792604501607718,5.613620713840436
1,1.0,0.6409534877288895,0.2372873567663747,"linear","increasing",2.054442732408834e-5,0.5,10,1.0050251256281407e-7,0.0016528925619834713,8.321392016376664e-5,406.5,1.307073954983923,9.627132104106382
2,1.0,0.0,0.011595217444393879,"linear","inactive",0.0001438109912686184,588.5,11,0.00011829145728643216,1.9454545454545455,0.000113510747185261,554.5,1.782958199356913,-0.1258343928453802
2,0.07653976609995587,0.0,0.0003831033615848312,"linear","inactive",0.0006214689265536723,2461.5,12,0.0004947738693467337,8.13719008264463,0.0005382804503582396,2629.5,8.454983922829582,0.05527131927717934
2,1.0,0.0,0.08255200106290617,"linear","inactive",0.0002773497688751926,1054.5,13,0.00021195979899497487,3.4859504132231405,0.00023060388945752303,1126.5,3.622186495176849,0.055308780473090756
2,1.0,0.0,-0.0018854002973488861,"linear","inactive",1.5408320493066255e-5,73.5,14,1.4773869346733668e-5,0.24297520661157027,1.7093142272262026e-5,83.5,0.2684887459807074,0.1440525096690419
2,1.0,0.0,-0.19284761151470048,"linear","inactive",5.1361068310220854e-5,202.5,15,4.07035175879397e-5,0.6694214876033058,4.431934493346981e-5,216.5,0.6961414790996785,0.05646567898609219
2,1.0,0.0,0.014438026345024802,"linear","inactive",3.59527478171546e-5,121.5,16,2.442211055276382e-5,0.4016528925619835,3.3060388945752306e-5,161.5,0.5192926045016077,0.3705984131194984
2,1.0,0.0,0.015039074686404015,"linear","inactive",4.6224961479198765e-5,158.5,17,3.185929648241206e-5,0.5239669421487604,3.899692937563971e-5,190.5,0.612540192926045,0.22532871938526897
2,1.0,0.0,-0.045306255037235704,"linear","inactive",0.00016435541859270673,683.5,18,0.00013738693467336684,2.259504132231405,0.0001323439099283521,646.5,2.0787781350482315,-0.12027040576445147
2,1.0,0.0,0.07073830121276321,"linear","inactive",5.1361068310220854e-5,202.5,19,4.07035175879397e-5,0.6694214876033058,4.595701125895599e-5,224.5,0.7218649517684887,0.10881409900051409
2,1.0,0.0,0.02739953717393985,"linear","inactive",7.19054956343092e-5,281.5,20,5.658291457286432e-5,0.9305785123966943,6.151484135107471e-5,300.5,0.9662379421221864,0.05425063066230972
3,1.0,0.4449296259183244,-0.05058850197426912,"linear","increasing",6.67693888032871e-5,28.5,21,5.728643216080402e-6,0.09421487603305785,0.0002428863868986694,1186.5,3.815112540192926,5.33962693306056
3,1.0,0.4449296259183244,0.18409396410534482,"linear","increasing",6.163328197226502e-5,28.5,22,5.728643216080402e-6,0.09421487603305785,0.0002091095189355169,1021.5,3.284565916398714,5.12360403659984
3,1.0,0.4449296259183244,0.2956726439625183,"linear","increasing",0.00015921931176168463,168.5,23,3.3869346733668345e-5,0.5570247933884298,0.0005085977482088025,2484.5,7.988745980707396,3.8421556073996057
3,1.0,0.4449296259183244,0.5777766460970023,"linear","increasing",4.6224961479198765e-5,48.5,24,9.748743718592965e-6,0.1603305785123967,0.00014462640736949845,706.5,2.2717041800643085,3.824653470178166
3,1.0,0.4449296259183244,0.4176584542818238,"linear","increasing",2.054442732408834e-5,0.5,25,1.0050251256281407e-7,0.0016528925619834713,8.6489252814739e-5,422.5,1.3585209003215435,9.6828280932009
3,1.0,0.4449296259183244,0.3831039583830445,"linear","increasing",9.758602978941963e-5,71.5,26,1.4371859296482413e-5,0.2363636363636364,0.00029918116683725693,1461.5,4.69935691318328,4.313383339059017
3,1.0,0.4449296259183244,0.2551872097637143,"linear","increasing",9.244992295839753e-5,78.5,27,1.577889447236181e-5,0.259504132231405,0.00030327533265097235,1481.5,4.763665594855305,4.198242724101009
3,1.0,0.4449296259183244,0.5989738220030844,"linear","increasing",4.6224961479198765e-5,0.5,28,1.0050251256281407e-7,0.0016528925619834713,0.000167553735926305,818.5,2.6318327974276525,10.636859168505508
3,1.0,0.4449296259183244,0.01895563078566791,"linear","increasing",5.1361068310220854e-5,21.5,29,4.321608040201005e-6,0.07107438016528926,0.00017799385875127944,869.5,2.7958199356913185,5.297798024635844
3,1.0,0.4449296259183244,0.14353635086353866,"linear","increasing",4.108885464817668e-5,0.5,30,1.0050251256281407e-7,0.0016528925619834713,0.00016489252814738998,805.5,2.590032154340836,10.613761340737923
4,0.046636988518001764,0.0,0.09712835860343183,"linear","inactive",7.19054956343092e-5,265.5,31,5.336683417085427e-5,0.8776859504132232,5.9263050153531215e-5,289.5,0.9308681672025723,0.0848720492164371
4,1.0,0.0,0.041492566199746214,"linear","inactive",7.704160246533128e-5,306.5,32,6.160804020100502e-5,1.0132231404958678,6.68372569089048e-5,326.5,1.0498392282958198,0.0512164798870034
4,1.0,0.0,-0.10047221408781762,"linear","inactive",0.00011299435028248587,392.5,33,7.889447236180904e-5,1.297520661157025,0.00010696008188331627,522.5,1.680064308681672,0.3727589452206099
4,1.0,0.0,-0.12755176161250778,"linear","inactive",0.00011299435028248587,478.5,34,9.618090452261306e-5,1.5818181818181818,0.00010736949846468781,524.5,1.6864951768488745,0.09244441012259617
4,1.0,0.0,0.06410909249028618,"linear","inactive",0.00010785824345146379,465.5,35,9.35678391959799e-5,1.5388429752066117,8.833162743091096e-5,431.5,1.387459807073955,-0.1494000463484845
4,1.0,0.0,0.06148589682927966,"linear","inactive",9.758602978941963e-5,394.5,36,7.92964824120603e-5,1.3041322314049586,8.812691914022518e-5,430.5,1.3842443729903537,0.08600849941473981
4,1.0,0.0,0.1635477740149898,"linear","inactive",1.5408320493066255e-5,52.5,37,1.0552763819095477e-5,0.17355371900826447,1.1770726714431935e-5,57.5,0.18488745980707397,0.09126509530960689
4,1.0,0.0,-0.08564637127521973,"linear","inactive",2.054442732408834e-5,76.5,38,1.5376884422110553e-5,0.2528925619834711,2.2210849539406347e-5,108.5,0.34887459807073956,0.4641839517831817
4,1.0,0.0,-0.015243706260220542,"linear","inactive",7.19054956343092e-5,297.5,39,5.9798994974874374e-5,0.9834710743801653,5.373592630501535e-5,262.5,0.8440514469453376,-0.22055168361046656
4,1.0,0.0,-0.20594619448815574,"linear","inactive",0.0001335387776065742,538.5,40,0.00010824120603015075,1.7801652892561983,0.00010655066530194474,520.5,1.6736334405144695,-0.08902761921343613
5,1.0,0.0,-0.09447349406687144,"sigmoidal","inactive",3.081664098613251e-5,143.5,41,2.884422110552764e-5,0.47438016528925625,2.9785056294779937e-5,145.5,0.4678456591639871,-0.02001102173604983
5,1.0,0.0,-0.0809513016751631,"sigmoidal","inactive",0.00016949152542372882,622.5,42,0.0001251256281407035,2.0578512396694215,0.00013623336745138178,665.5,2.139871382636656,0.05638539098780277
5,1.0,0.0,-0.17592497828003884,"sigmoidal","inactive",6.67693888032871e-5,274.5,43,5.5175879396984926e-5,0.9074380165289256,5.353121801432958e-5,261.5,0.8408360128617363,-0.10997464072690318
5,1.0,0.0,0.04983599753443436,"sigmoidal","inactive",0.00014894709809964047,571.5,44,0.00011487437185929649,1.8892561983471077,0.00012497441146366427,610.5,1.963022508038585,0.05525835880427909
5,1.0,0.0,0.03116622030535774,"sigmoidal","inactive",0.00010272213662044171,412.5,45,8.291457286432161e-5,1.3636363636363638,7.318321392016376e-5,357.5,1.1495176848874598,-0.24643031543607216
5,1.0,0.0,0.03569161349097887,"sigmoidal","inactive",0.0004468412942989214,1707.5,46,0.00034321608040201006,5.644628099173554,0.00035813715455475947,1749.5,5.62540192926045,-0.004922351906249088
5,1.0,0.0,0.015357950272156305,"sigmoidal","inactive",3.59527478171546e-5,161.5,47,3.246231155778894e-5,0.5338842975206611,2.5281473899692936e-5,123.5,0.3971061093247588,-0.42700256107789303
5,1.0,0.0,0.009795406206587734,"sigmoidal","inactive",3.081664098613251e-5,87.5,48,1.7587939698492464e-5,0.2892561983471075,2.753326509723644e-5,134.5,0.432475884244373,0.5802718127556495
5,1.0,0.0,-0.016343080089968858,"sigmoidal","inactive",7.19054956343092e-5,248.5,49,4.9949748743718596e-5,0.8214876033057852,6.212896622313203e-5,303.5,0.9758842443729903,0.24847122672475008
5,1.0,0.0,-0.08670730473032973,"sigmoidal","inactive",5.649717514124294e-5,228.5,50,4.592964824120603e-5,0.7553719008264462,4.083930399181167e-5,199.5,0.6414790996784566,-0.23578485680436936
6,1.0,0.0,0.023051203253614098,"linear","inactive",3.081664098613251e-5,136.5,51,2.7437185929648243e-5,0.45123966942148763,2.3848515864892527e-5,116.5,0.3745980707395498,-0.26855043423421804
6,1.0,0.0,0.15209445137591748,"linear","inactive",0.00011813045711350796,572.5,52,0.00011507537688442211,1.8925619834710745,9.365404298874105e-5,457.5,1.4710610932475885,-0.36348338778154715
6,1.0,0.0,-0.016066934450561704,"linear","inactive",5.136106831022085e-6,16.5,53,3.3165829145728643e-6,0.05454545454545455,3.7871033776867963e-6,18.5,0.0594855305466238,0.1250798083018507
6,0.13755583940120691,0.0,-0.025748657920832158,"linear","inactive",5.1361068310220854e-5,201.5,54,4.050251256281407e-5,0.6661157024793389,4.595701125895599e-5,224.5,0.7218649517684887,0.1159561682445336
6,1.0,0.0,0.016816479801587136,"linear","inactive",5.1361068310220854e-5,203.5,55,4.0904522613065325e-5,0.6727272727272727,4.309109518935517e-5,210.5,0.6768488745980707,0.008812000831503424
6,1.0,0.0,0.06947680706063328,"linear","inactive",0.00022085259373394968,881.5,56,0.0001771859296482412,2.9140495867768594,0.00017103377686796315,835.5,2.6864951768488745,-0.11730017922763931
6,1.0,0.0,-0.011996799555721402,"linear","inactive",0.0001386748844375963,611.5,57,0.0001229145728643216,2.0214876033057854,0.00011392016376663255,556.5,1.7893890675241158,-0.17595024915407306
6,1.0,0.0,0.05111377675681238,"linear","inactive",0.00011299435028248587,551.5,58,0.00011085427135678392,1.8231404958677686,8.607983623336745e-5,420.5,1.3520900321543408,-0.4312345233048842
6,1.0,0.0,-0.09955890079361192,"linear","inactive",4.6224961479198765e-5,184.5,59,3.708542713567839e-5,0.6099173553719008,3.613101330603889e-5,176.5,0.567524115755627,-0.10393207075786143
6,1.0,0.0,-0.03874971151478907,"linear","inactive",0.00011299435028248587,440.5,60,8.85427135678392e-5,1.456198347107438,0.00010777891504605936,526.5,1.692926045016077,0.2173120741366575
7,1.0,0.0,-0.1569597325221613,"sigmoidal","inactive",5.649717514124294e-5,201.5,61,4.050251256281407e-5,0.6661157024793389,4.923234390992835e-5,240.5,0.7733118971061094,0.2152776172734288
7,1.0,0.0,0.03975970868547349,"sigmoidal","inactive",0.000179763739085773,674.5,62,0.0001355778894472362,2.2297520661157026,0.00014155578300921188,691.5,2.2234726688102895,-0.0040686297664192
7,1.0,0.0,0.03288940588672636,"sigmoidal","inactive",2.5680534155110427e-5,87.5,63,1.7587939698492464e-5,0.2892561983471075,1.811668372569089e-5,88.5,0.2845659163987138,-0.023584999717977236
7,1.0,0.0,0.04469720620308242,"sigmoidal","inactive",0.00010785824345146379,426.5,64,8.57286432160804e-5,1.4099173553719009,8.11668372569089e-5,396.5,1.27491961414791,-0.14520431358295752
7,1.0,0.0,0.04365316835178534,"sigmoidal","inactive",7.704160246533128e-5,305.5,65,6.14070351758794e-5,1.009917355371901,6.519959058341863e-5,318.5,1.0241157556270097,0.02014155446892497
7,1.0,0.0,-0.018919640255970593,"sigmoidal","inactive",4.108885464817668e-5,135.5,66,2.7236180904522612e-5,0.4479338842975207,3.490276356192426e-5,170.5,0.5482315112540193,0.291499449701655
7,1.0,0.0,0.011879450634996437,"sigmoidal","inactive",0.00010785824345146379,427.5,67,8.592964824120603e-5,1.413223140495868,6.663254861821903e-5,325.5,1.0466237942122185,-0.4332463145762707
7,1.0,0.0,0.011459348660061824,"sigmoidal","inactive",0.00015408320493066256,624.5,68,0.0001255276381909548,2.0644628099173556,0.000127021494370522,620.5,1.995176848874598,-0.049249799446246696
7,1.0,0.0,-0.21993727087987047,"sigmoidal","inactive",0.00022598870056497175,834.5,69,0.00016773869346733668,2.7586776859504134,0.00018208802456499488,889.5,2.860128617363344,0.052103117935915176
7,1.0,0.0,-0.03154857090066484,"sigmoidal","inactive",0.0001335387776065742,529.5,70,0.0001064321608040201,1.7504132231404959,0.00011494370522006141,561.5,1.8054662379421222,0.04467590043961907
8,1.0,0.0,0.11315475716260369,"linear","inactive",1.5408320493066255e-5,69.5,71,1.3969849246231155e-5,0.22975206611570248,1.5455475946775844e-5,75.5,0.2427652733118971,0.07948422863292562
