"gene","knockdown","theo_phenotype","obs_phenotype","behavior","class","initial_freq","counts_bin1","barcodeid","freqs_bin1","rel_freqs_bin1","freqs_bin2","counts_bin2","rel_freqs_bin2","log2fc_bin2"
1,1.0,0.0,-Inf,"linear","inactive",1.4496054527184346e-5,55.5,1,1.1200807265388496e-5,0.13686806411837238,1.4788004136504654e-5,71.5,0.184993531694696,0.4346889707207093
1,1.0,0.0,-Inf,"linear","inactive",0.00015363065383398853,744.5,2,0.00015025227043390514,1.8360049321824907,0.00014570837642192348,704.5,1.8227684346701165,-0.010438641980037584
1,1.0,0.0,-Inf,"linear","inactive",7.069120261516163e-5,373.5,3,7.537840565085772e-5,0.9210850801479655,7.042399172699069e-5,340.5,0.8809831824062095,-0.06421994448474053
1,1.0,0.0,-Inf,"linear","inactive",0.00019647658715167896,965.5,4,0.000194853683148335,2.381011097410604,0.00019162357807652535,926.5,2.397153945666236,0.009748217369041494
1,1.0,0.0,-Inf,"linear","inactive",2.5826831325331602e-5,144.5,5,2.9162462159434915e-5,0.3563501849568434,2.3681489141675283e-5,114.5,0.296248382923674,-0.2664883941113092
1,1.0,0.0,-Inf,"linear","inactive",0.00011183981309264378,547.5,6,0.00011049445005045409,1.3501849568434032,0.00011944157187176836,577.5,1.4941785252263908,0.14619548210730987
1,1.0,0.0,-Inf,"linear","inactive",0.0001056468784053973,564.5,7,0.00011392532795156408,1.3921085080147966,0.00010641158221302999,514.5,1.3311772315653299,-0.06456900358660685
1,1.0,0.0,-Inf,"linear","inactive",0.00012601475248789684,670.5,8,0.0001353178607467205,1.6535141800246609,0.00012481902792140642,603.5,1.5614489003880985,-0.08265006085702667
1,1.0,0.0,-Inf,"linear","inactive",5.876406914342768e-5,296.5,9,5.983854692230071e-5,0.7311960542540074,5.9255429162357806e-5,286.5,0.741267787839586,0.019736534503326953
1,1.0,0.0,-Inf,"linear","inactive",2.128534588801752e-5,101.5,10,2.048435923309788e-5,0.25030826140567203,3.547052740434333e-5,171.5,0.44372574385511,0.8259623492800616
2,1.0,0.0,-Inf,"linear","inactive",0.00016129154341006378,828.5,11,0.00016720484359233098,2.0431565967940815,0.00015563598759048603,752.5,1.946959896507115,-0.06957661528196198
2,1.0,0.0,-Inf,"linear","inactive",0.0002506074236772408,1227.5,12,0.0002477295660948537,3.027127003699137,0.00022926577042399173,1108.5,2.868046571798189,-0.07788075404232271
2,1.0,0.0,-Inf,"linear","inactive",0.00012982226048079652,668.5,13,0.00013491422805247225,1.6485819975339089,0.00012254395036194417,592.5,1.532988357050453,-0.10487890601530564
2,1.0,0.0,-Inf,"linear","inactive",0.00011835386291182156,622.5,14,0.00012563067608476286,1.535141800246609,0.00010723888314374354,518.5,1.3415265200517466,-0.1944963478497918
2,1.0,0.0,-Inf,"linear","inactive",6.179172610163707e-5,292.5,15,5.9031281533804236e-5,0.721331689272503,5.16028955532575e-5,249.5,0.6455368693402329,-0.1601633088410805
2,1.0,0.0,-Inf,"linear","inactive",3.3533594491682775e-5,170.5,16,3.440968718466196e-5,0.4204685573366215,4.0020682523267836e-5,193.5,0.500646830530401,0.25179532741266336
2,1.0,0.0,-Inf,"linear","inactive",4.968109826879951e-5,247.5,17,4.994954591321897e-5,0.6103575832305795,5.015511892450879e-5,242.5,0.6274256144890039,0.03978972239994368
2,1.0,0.0,-Inf,"linear","inactive",3.234088114450938e-5,145.5,18,2.936427850655903e-5,0.35881627620221945,2.6163391933815924e-5,126.5,0.32729624838292365,-0.13264826792154805
2,1.0,0.0,-Inf,"linear","inactive",4.0735748164999045e-5,208.5,19,4.207870837537841e-5,0.5141800246609125,4.767321613236815e-5,230.5,0.5963777490297543,0.2139528672770999
2,1.0,0.0,-Inf,"linear","inactive",5.688325194211579e-5,264.5,20,5.338042381432896e-5,0.6522811344019729,5.491209927611168e-5,265.5,0.686934023285899,0.07467763898255318
3,1.0,0.0,-Inf,"linear","inactive",2.128534588801752e-5,98.5,21,1.987891019172553e-5,0.24290998766954378,2.078593588417787e-5,100.5,0.26002587322121606,0.09823337201497798
3,1.0,0.0,-Inf,"linear","inactive",0.00018019146260373452,845.5,22,0.00017063572149344098,2.085080147965475,0.00014860392967942088,718.5,1.8589909443725743,-0.16558309766022156
3,1.0,0.0,-Inf,"linear","inactive",5.064444366459341e-5,239.5,23,4.833501513622604e-5,0.590628853267571,5.2430196483971045e-5,253.5,0.6558861578266495,0.151193591559586
3,1.0,0.0,-Inf,"linear","inactive",4.972697185907541e-5,292.5,24,5.9031281533804236e-5,0.721331689272503,3.8366080661840744e-5,185.5,0.4799482535575679,-0.5877839375575379
3,1.0,0.0,-Inf,"linear","inactive",6.803053437915945e-5,333.5,25,6.730575176589303e-5,0.8224414303329223,8.821096173733195e-5,426.5,1.1034928848641656,0.42409248042613096
3,1.0,0.0,-Inf,"linear","inactive",5.096555879652471e-5,248.5,26,5.015136226034309e-5,0.6128236744759556,4.5604963805584284e-5,220.5,0.5705045278137129,-0.10323369571233999
3,1.0,0.0,-Inf,"linear","inactive",9.647216035021734e-5,460.5,27,9.29364278506559e-5,1.1356350184956843,0.0001014477766287487,490.5,1.2690815006468306,0.16028548042032895
3,0.14729178710828367,0.0,-Inf,"linear","inactive",6.211284123356836e-5,347.5,28,7.013118062563067e-5,0.8569667077681874,5.511892450879007e-5,266.5,0.6895213454075032,-0.31364394455926836
3,1.0,0.0,-Inf,"linear","inactive",0.0001351435969528009,699.5,29,0.00014117053481331988,1.7250308261405671,0.00013247156153050672,640.5,1.6571798188874514,-0.057891986530681255
3,1.0,0.0,-Inf,"linear","inactive",0.00010615148789843221,533.5,30,0.00010766902119071645,1.315659679408138,8.92450879007239e-5,431.5,1.1164294954721863,-0.2368942113530443
4,1.0,0.0,-Inf,"linear","inactive",5.793834451846148e-5,262.5,31,5.297679112008073e-5,0.6473489519112208,5.3050672182006205e-5,256.5,0.6636481241914619,0.03587490334599472
4,1.0,0.0,-Inf,"linear","inactive",0.0001289047886752785,640.5,32,0.00012926337033299697,1.5795314426633786,0.0001171664943123061,566.5,1.4657179818887451,-0.10788911422870535
4,1.0,0.0,-Inf,"linear","inactive",5.5002434740803896e-5,254.5,33,5.1362260343087793e-5,0.6276202219482121,6.173733195449844e-5,298.5,0.7723156532988357,0.29929877548153516
4,1.0,0.0,-Inf,"linear","inactive",9.514182623221625e-5,473.5,34,9.556004036326942e-5,1.1676942046855734,8.552223371251292e-5,413.5,1.0698576972833118,-0.12624359600468468
4,1.0,0.0,-Inf,"linear","inactive",7.486569933026852e-5,385.5,35,7.780020181634713e-5,0.9506781750924784,7.8076525336091e-5,377.5,0.9767141009055627,0.03897928458983232
4,1.0,0.0,-Inf,"linear","inactive",5.780072374763378e-5,277.5,36,5.600403632694248e-5,0.6843403205918619,5.5325749741468456e-5,267.5,0.6921086675291074,0.01628462034346666
4,1.0,0.0,-Inf,"linear","inactive",1.4954790429943343e-5,70.5,37,1.4228052472250252e-5,0.17385943279901356,1.3960703205791106e-5,67.5,0.17464424320827943,0.006497744944462993
4,1.0,0.0,-Inf,"linear","inactive",0.00011197743386347148,550.5,38,0.00011109989909182644,1.3575832305795315,9.68976215098242e-5,468.5,1.2121604139715396,-0.16346001561275625
4,1.0,0.0,-Inf,"linear","inactive",0.00022138594667149258,1111.5,39,0.0002243188698284561,2.7410604192355117,0.00022492244053774562,1087.5,2.813712807244502,0.03774095288888856
4,1.0,0.0,-Inf,"linear","inactive",4.371753153293254e-5,227.5,40,4.591321897073663e-5,0.561035758323058,3.609100310237849e-5,174.5,0.4514877102199224,-0.31340600858398066
5,1.0,0.0,-Inf,"linear","inactive",0.00041304580684420203,2024.5,41,0.00040857719475277497,4.992601726263872,0.0003860392967942089,1866.5,4.829236739974127,-0.04799663408096209
5,1.0,0.0,-Inf,"linear","inactive",0.0003441895478400764,1740.5,42,0.00035126135216952576,4.292231812577065,0.000359358841778697,1737.5,4.495472186287192,0.06674466406697507
5,1.0,0.0,-Inf,"linear","inactive",4.091924252610265e-5,198.5,43,4.006054490413723e-5,0.4895191122071516,3.6504653567735266e-5,176.5,0.4566623544631307,-0.10023732357935161
5,1.0,0.0,-Inf,"linear","inactive",5.34886062616992e-5,233.5,44,4.712411705348133e-5,0.5758323057953144,4.477766287487073e-5,216.5,0.5601552393272963,-0.03982202469051131
5,1.0,0.0,-Inf,"linear","inactive",0.0001873936162770508,938.5,45,0.00018940464177598384,2.31442663378545,0.00018562564632885212,897.5,2.3221216041397152,0.004788694171965028
5,1.0,0.0,-Inf,"linear","inactive",0.00011624367775913017,543.5,46,0.00010968718466195762,1.340320591861899,0.0001031023784901758,498.5,1.2897800776196635,-0.05545303033668787
5,1.0,0.0,-Inf,"linear","inactive",7.532443523302751e-5,399.5,47,8.062563067608477e-5,0.9852034525277436,7.021716649431231e-5,339.5,0.8783958602846055,-0.16555042839081935
5,1.0,0.0,-Inf,"linear","inactive",6.399365843488026e-5,331.5,48,6.69021190716448e-5,0.8175092478421702,6.959669079627714e-5,336.5,0.8706338939197931,0.0908311347901551
