gene,sgRNA,class,L1,L2,L3,L4,H1,H2,H3,H4
G0001,G0001_1,inactive,657.0,743.0,701.0,855.0,694.0,826.0,812.0,893.0
G0001,G0001_2,inactive,577.0,704.0,620.0,590.0,708.0,781.0,566.0,796.0
G0001,G0001_3,inactive,2079.0,2357.0,2379.0,2302.0,2583.0,2632.0,2234.0,2610.0
G0001,G0001_4,inactive,147.0,163.0,182.0,230.0,145.0,242.0,117.0,240.0
G0001,G0001_5,inactive,1077.0,1391.0,1186.0,1264.0,1355.0,1494.0,1052.0,1589.0
G0001,G0001_6,inactive,1206.0,1441.0,1249.0,1302.0,1395.0,1315.0,1524.0,1552.0
G0001,G0001_7,inactive,1842.0,1869.0,1694.0,1640.0,2299.0,2227.0,1838.0,2425.0
G0001,G0001_8,inactive,1841.0,2113.0,1708.0,1924.0,2124.0,2303.0,1947.0,2145.0
G0001,G0001_9,inactive,244.0,164.0,279.0,198.0,308.0,167.0,268.0,309.0
G0001,G0001_10,inactive,1185.0,1293.0,1451.0,1415.0,1656.0,1443.0,1511.0,1512.0
G0002,G0002_11,inactive,1683.0,1763.0,1315.0,1907.0,1586.0,1742.0,1412.0,1691.0
G0002,G0002_12,inactive,573.0,576.0,635.0,558.0,613.0,513.0,600.0,807.0
G0002,G0002_13,inactive,1383.0,1417.0,1337.0,1243.0,1492.0,1357.0,1336.0,1523.0
G0002,G0002_14,inactive,768.0,845.0,739.0,708.0,753.0,806.0,791.0,959.0
G0002,G0002_15,inactive,1016.0,995.0,910.0,883.0,1249.0,1219.0,1185.0,945.0
G0002,G0002_16,inactive,851.0,907.0,883.0,677.0,885.0,821.0,802.0,937.0
G0002,G0002_17,inactive,653.0,877.0,758.0,759.0,857.0,930.0,883.0,806.0
G0002,G0002_18,inactive,1832.0,2107.0,1739.0,2017.0,2283.0,2245.0,2210.0,2475.0
G0002,G0002_19,inactive,1711.0,1731.0,1441.0,1682.0,1683.0,1820.0,1763.0,2250.0
G0002,G0002_20,inactive,530.0,609.0,529.0,748.0,741.0,588.0,550.0,626.0
G0003,G0003_21,inactive,671.0,943.0,709.0,491.0,796.0,892.0,725.0,653.0
G0003,G0003_22,inactive,2148.0,2116.0,2033.0,2017.0,2437.0,2229.0,2091.0,2402.0
G0003,G0003_23,inactive,546.0,599.0,611.0,569.0,605.0,658.0,650.0,875.0
G0003,G0003_24,inactive,283.0,327.0,275.0,279.0,277.0,292.0,205.0,181.0
G0003,G0003_25,inactive,536.0,633.0,372.0,493.0,452.0,423.0,509.0,563.0
G0003,G0003_26,inactive,225.0,232.0,244.0,314.0,249.0,231.0,314.0,299.0
G0003,G0003_27,inactive,898.0,918.0,810.0,991.0,1012.0,1020.0,927.0,1117.0
G0003,G0003_28,inactive,622.0,722.0,532.0,645.0,580.0,592.0,690.0,886.0
G0003,G0003_29,inactive,737.0,838.0,711.0,662.0,540.0,730.0,593.0,823.0
G0003,G0003_30,inactive,257.0,345.0,220.0,238.0,241.0,393.0,226.0,292.0
G0004,G0004_31,inactive,670.0,648.0,523.0,591.0,903.0,646.0,745.0,888.0
G0004,G0004_32,inactive,194.0,246.0,279.0,270.0,255.0,289.0,381.0,302.0
G0004,G0004_33,inactive,1220.0,1112.0,1435.0,1174.0,1153.0,1216.0,1401.0,1439.0
G0004,G0004_34,inactive,879.0,829.0,933.0,994.0,1013.0,866.0,786.0,813.0
G0004,G0004_35,inactive,767.0,698.0,597.0,591.0,591.0,638.0,723.0,479.0
G0004,G0004_36,inactive,655.0,692.0,670.0,443.0,617.0,678.0,593.0,768.0
G0004,G0004_37,inactive,311.0,360.0,292.0,262.0,309.0,416.0,414.0,391.0
G0004,G0004_38,inactive,868.0,846.0,846.0,902.0,942.0,717.0,981.0,939.0
G0004,G0004_39,inactive,493.0,533.0,535.0,539.0,482.0,488.0,387.0,602.0
G0004,G0004_40,inactive,762.0,929.0,801.0,983.0,793.0,993.0,906.0,951.0
G0005,G0005_41,inactive,1418.0,1047.0,1163.0,1119.0,1198.0,1246.0,1151.0,1201.0
G0005,G0005_42,inactive,1161.0,1632.0,1248.0,1422.0,1502.0,1660.0,1606.0,1652.0
G0005,G0005_43,inactive,777.0,872.0,777.0,866.0,701.0,807.0,652.0,885.0
G0005,G0005_44,inactive,459.0,872.0,509.0,513.0,700.0,741.0,577.0,610.0
G0005,G0005_45,inactive,1967.0,2613.0,2189.0,2204.0,2303.0,2373.0,2300.0,2495.0
G0005,G0005_46,inactive,1241.0,1303.0,1211.0,1220.0,1510.0,1375.0,1363.0,1269.0
G0005,G0005_47,inactive,422.0,603.0,392.0,433.0,433.0,445.0,410.0,536.0
G0005,G0005_48,inactive,234.0,242.0,123.0,196.0,291.0,287.0,151.0,224.0
G0005,G0005_49,inactive,920.0,985.0,809.0,914.0,841.0,1110.0,798.0,1209.0
G0005,G0005_50,inactive,393.0,433.0,343.0,335.0,404.0,444.0,262.0,648.0
G0006,G0006_51,inactive,489.0,517.0,341.0,517.0,488.0,588.0,372.0,503.0
G0006,G0006_52,inactive,812.0,863.0,745.0,906.0,991.0,964.0,755.0,888.0
G0006,G0006_53,inactive,1105.0,1183.0,972.0,1321.0,1092.0,1034.0,1057.0,1527.0
G0006,G0006_54,inactive,366.0,677.0,538.0,593.0,622.0,685.0,493.0,717.0
G0006,G0006_55,inactive,872.0,903.0,686.0,798.0,944.0,1052.0,861.0,847.0
