gene,barcodeid,class,L1,H1,L2,H2,L3,H3,L4,H4
G0001,G0001_1,inactive,652.0,521.0,652.0,521.0,652.0,521.0,652.0,521.0
G0001,G0001_2,inactive,170.0,169.0,170.0,169.0,170.0,169.0,170.0,169.0
G0001,G0001_3,inactive,1265.0,1209.0,1265.0,1209.0,1265.0,1209.0,1265.0,1209.0
G0001,G0001_4,inactive,1979.0,1953.0,1979.0,1953.0,1979.0,1953.0,1979.0,1953.0
G0001,G0001_5,inactive,176.0,175.0,176.0,175.0,176.0,175.0,176.0,175.0
G0001,G0001_6,inactive,181.0,261.0,181.0,261.0,181.0,261.0,181.0,261.0
G0001,G0001_7,inactive,834.0,744.0,834.0,744.0,834.0,744.0,834.0,744.0
G0001,G0001_8,inactive,1781.0,1719.0,1781.0,1719.0,1781.0,1719.0,1781.0,1719.0
G0001,G0001_9,inactive,551.0,581.0,551.0,581.0,551.0,581.0,551.0,581.0
G0001,G0001_10,inactive,1371.0,1286.0,1371.0,1286.0,1371.0,1286.0,1371.0,1286.0
G0002,G0002_11,inactive,361.0,468.0,361.0,468.0,361.0,468.0,361.0,468.0
G0002,G0002_12,inactive,468.0,421.0,468.0,421.0,468.0,421.0,468.0,421.0
G0002,G0002_13,inactive,1502.0,1415.0,1502.0,1415.0,1502.0,1415.0,1502.0,1415.0
G0002,G0002_14,inactive,623.0,646.0,623.0,646.0,623.0,646.0,623.0,646.0
G0002,G0002_15,inactive,669.0,496.0,669.0,496.0,669.0,496.0,669.0,496.0
G0002,G0002_16,inactive,555.0,447.0,555.0,447.0,555.0,447.0,555.0,447.0
G0002,G0002_17,inactive,542.0,585.0,542.0,585.0,542.0,585.0,542.0,585.0
G0002,G0002_18,inactive,1762.0,1853.0,1762.0,1853.0,1762.0,1853.0,1762.0,1853.0
G0002,G0002_19,inactive,2080.0,1818.0,2080.0,1818.0,2080.0,1818.0,2080.0,1818.0
G0002,G0002_20,inactive,457.0,522.0,457.0,522.0,457.0,522.0,457.0,522.0
G0003,G0003_21,inactive,834.0,1029.0,834.0,1029.0,834.0,1029.0,834.0,1029.0
G0003,G0003_22,inactive,528.0,501.0,528.0,501.0,528.0,501.0,528.0,501.0
G0003,G0003_23,inactive,510.0,476.0,510.0,476.0,510.0,476.0,510.0,476.0
G0003,G0003_24,inactive,930.0,876.0,930.0,876.0,930.0,876.0,930.0,876.0
G0003,G0003_25,inactive,746.0,898.0,746.0,898.0,746.0,898.0,746.0,898.0
G0003,G0003_26,inactive,431.0,416.0,431.0,416.0,431.0,416.0,431.0,416.0
G0003,G0003_27,inactive,680.0,737.0,680.0,737.0,680.0,737.0,680.0,737.0
G0003,G0003_28,inactive,806.0,884.0,806.0,884.0,806.0,884.0,806.0,884.0
G0003,G0003_29,inactive,4532.0,4831.0,4532.0,4831.0,4532.0,4831.0,4532.0,4831.0
G0003,G0003_30,inactive,423.0,462.0,423.0,462.0,423.0,462.0,423.0,462.0
G0004,G0004_31,negcontrol,1394.0,1328.0,1394.0,1328.0,1394.0,1328.0,1394.0,1328.0
G0004,G0004_32,negcontrol,139.0,74.0,139.0,74.0,139.0,74.0,139.0,74.0
G0004,G0004_33,negcontrol,179.0,173.0,179.0,173.0,179.0,173.0,179.0,173.0
