gene,sgRNA,class,L1,L2,L3,L4,H1,H2,H3,H4
G0001,G0001_1,inactive,222.0,274.0,265.0,262.0,251.0,236.0,283.0,212.0
G0001,G0001_2,inactive,2378.0,2611.0,2314.0,2673.0,2362.0,2309.0,1765.0,2255.0
G0001,G0001_3,inactive,1083.0,911.0,1162.0,905.0,1175.0,820.0,1172.0,671.0
G0001,G0001_4,inactive,670.0,780.0,879.0,940.0,591.0,791.0,841.0,851.0
G0001,G0001_5,inactive,934.0,1074.0,1089.0,1018.0,1095.0,1041.0,982.0,823.0
G0001,G0001_6,inactive,1259.0,1200.0,1394.0,1455.0,1278.0,988.0,1225.0,1276.0
G0001,G0001_7,inactive,928.0,1063.0,912.0,897.0,1008.0,870.0,898.0,729.0
G0001,G0001_8,inactive,2008.0,1938.0,2126.0,2329.0,2013.0,1627.0,1995.0,2030.0
G0001,G0001_9,inactive,1018.0,1107.0,1238.0,1029.0,997.0,951.0,1295.0,944.0
G0001,G0001_10,inactive,1719.0,1780.0,2039.0,1592.0,1670.0,1665.0,1858.0,1496.0
G0002,G0002_11,inactive,611.0,638.0,642.0,568.0,532.0,654.0,480.0,557.0
G0002,G0002_12,inactive,410.0,361.0,411.0,506.0,495.0,312.0,380.0,348.0
G0002,G0002_13,inactive,473.0,395.0,472.0,386.0,397.0,431.0,410.0,300.0
G0002,G0002_14,inactive,150.0,153.0,204.0,168.0,117.0,93.0,210.0,169.0
G0002,G0002_15,inactive,1530.0,1511.0,1383.0,1364.0,1492.0,1304.0,1141.0,1124.0
G0002,G0002_16,inactive,1608.0,1904.0,1874.0,1694.0,1629.0,1672.0,1805.0,1553.0
G0002,G0002_17,inactive,1537.0,1852.0,1745.0,1431.0,1333.0,1769.0,1530.0,1211.0
G0002,G0002_18,inactive,487.0,454.0,468.0,495.0,423.0,347.0,539.0,426.0
G0002,G0002_19,inactive,891.0,813.0,809.0,807.0,800.0,673.0,787.0,761.0
G0002,G0002_20,inactive,649.0,614.0,677.0,483.0,701.0,598.0,619.0,461.0
G0003,G0003_21,inactive,862.0,973.0,818.0,959.0,839.0,1060.0,685.0,767.0
G0003,G0003_22,inactive,586.0,553.0,577.0,589.0,533.0,609.0,476.0,530.0
G0003,G0003_23,inactive,618.0,708.0,742.0,691.0,639.0,640.0,616.0,525.0
G0003,G0003_24,inactive,1721.0,1803.0,1948.0,1885.0,1648.0,1801.0,1758.0,1659.0
G0003,G0003_25,inactive,1615.0,1491.0,1698.0,1678.0,1563.0,1492.0,1549.0,1377.0
G0003,G0003_26,inactive,1788.0,1750.0,1769.0,1671.0,1770.0,1595.0,1618.0,1596.0
G0003,G0003_27,inactive,604.0,695.0,472.0,539.0,675.0,657.0,380.0,480.0
G0003,G0003_28,inactive,547.0,872.0,571.0,781.0,596.0,765.0,518.0,647.0
G0003,G0003_29,inactive,466.0,359.0,531.0,415.0,407.0,428.0,368.0,433.0
G0003,G0003_30,inactive,1225.0,1377.0,1379.0,1382.0,1206.0,1307.0,1404.0,1088.0
G0004,G0004_31,negcontrol,428.0,347.0,427.0,518.0,346.0,389.0,408.0,423.0
G0004,G0004_32,negcontrol,213.0,325.0,255.0,282.0,236.0,320.0,276.0,282.0
G0004,G0004_33,negcontrol,378.0,396.0,371.0,420.0,236.0,316.0,310.0,323.0
G0004,G0004_34,negcontrol,896.0,1143.0,873.0,843.0,1026.0,1107.0,751.0,755.0
G0004,G0004_35,negcontrol,649.0,700.0,771.0,671.0,519.0,519.0,642.0,536.0
G0004,G0004_36,negcontrol,1270.0,1036.0,1181.0,1255.0,1179.0,1071.0,1063.0,1047.0
G0004,G0004_37,negcontrol,464.0,446.0,649.0,551.0,482.0,417.0,596.0,386.0
G0004,G0004_38,negcontrol,902.0,1083.0,964.0,1025.0,908.0,1003.0,965.0,843.0
G0004,G0004_39,negcontrol,1357.0,1541.0,1535.0,1421.0,1250.0,1554.0,1322.0,1332.0
G0004,G0004_40,negcontrol,947.0,1034.0,1028.0,1254.0,866.0,1090.0,926.0,954.0
G0005,G0005_41,inactive,998.0,921.0,866.0,1037.0,871.0,855.0,845.0,931.0
G0005,G0005_42,inactive,494.0,428.0,473.0,596.0,499.0,342.0,405.0,486.0
G0005,G0005_43,inactive,829.0,658.0,755.0,806.0,770.0,582.0,720.0,749.0
G0005,G0005_44,inactive,476.0,506.0,584.0,541.0,418.0,462.0,528.0,433.0
G0005,G0005_45,inactive,3098.0,3184.0,3452.0,3506.0,3071.0,3278.0,3016.0,3039.0
G0005,G0005_46,inactive,1712.0,1780.0,1892.0,1688.0,1845.0,1564.0,1678.0,1482.0
G0005,G0005_47,inactive,1217.0,1184.0,1197.0,1140.0,1143.0,1128.0,1116.0,952.0
G0005,G0005_48,inactive,618.0,577.0,565.0,692.0,715.0,622.0,503.0,508.0
G0005,G0005_49,inactive,596.0,681.0,728.0,691.0,584.0,600.0,515.0,662.0
G0005,G0005_50,inactive,1181.0,1288.0,1311.0,1376.0,1056.0,1134.0,1332.0,1157.0
G0006,G0006_51,inactive,711.0,656.0,706.0,762.0,623.0,693.0,678.0,704.0
G0006,G0006_52,inactive,1423.0,1360.0,1321.0,1475.0,1400.0,1209.0,1092.0,1255.0
G0006,G0006_53,inactive,87.0,129.0,108.0,131.0,68.0,147.0,109.0,112.0
G0006,G0006_54,inactive,1028.0,1274.0,1330.0,1265.0,945.0,1132.0,1298.0,1081.0
G0006,G0006_55,inactive,26.0,25.0,35.0,63.0,13.0,17.0,30.0,78.0
G0006,G0006_56,inactive,730.0,935.0,743.0,840.0,754.0,951.0,557.0,739.0
G0006,G0006_57,inactive,1177.0,1251.0,1049.0,1155.0,1191.0,988.0,994.0,900.0
G0006,G0006_58,inactive,808.0,873.0,951.0,956.0,702.0,754.0,855.0,853.0
G0006,G0006_59,inactive,247.0,235.0,155.0,186.0,145.0,219.0,105.0,211.0
G0006,G0006_60,inactive,2445.0,2471.0,2306.0,2524.0,2255.0,2238.0,2094.0,2102.0
G0007,G0007_61,negcontrol,455.0,389.0,523.0,466.0,433.0,420.0,418.0,500.0
G0007,G0007_62,negcontrol,1050.0,1224.0,1054.0,962.0,923.0,1136.0,977.0,862.0
G0007,G0007_63,negcontrol,300.0,546.0,392.0,345.0,357.0,495.0,332.0,235.0
G0007,G0007_64,negcontrol,276.0,240.0,313.0,377.0,227.0,239.0,367.0,281.0
G0007,G0007_65,negcontrol,231.0,252.0,286.0,225.0,226.0,215.0,233.0,180.0
G0007,G0007_66,negcontrol,832.0,785.0,885.0,839.0,803.0,716.0,940.0,656.0
G0007,G0007_67,negcontrol,730.0,750.0,829.0,661.0,696.0,680.0,708.0,515.0
G0007,G0007_68,negcontrol,1637.0,1422.0,1512.0,1573.0,1486.0,1229.0,1363.0,1328.0
G0007,G0007_69,negcontrol,567.0,683.0,694.0,729.0,500.0,530.0,491.0,661.0
G0007,G0007_70,negcontrol,559.0,675.0,593.0,574.0,537.0,526.0,393.0,483.0
G0008,G0008_71,inactive,2549.0,2614.0,2380.0,2531.0,2581.0,2408.0,2387.0,2265.0
G0008,G0008_72,inactive,541.0,582.0,682.0,679.0,461.0,485.0,562.0,551.0
G0008,G0008_73,inactive,1019.0,1084.0,1186.0,1274.0,955.0,1022.0,1071.0,1156.0
G0008,G0008_74,inactive,993.0,984.0,950.0,1019.0,911.0,957.0,803.0,753.0
G0008,G0008_75,inactive,1430.0,1640.0,1591.0,1687.0,1299.0,1604.0,1342.0,1472.0
G0008,G0008_76,inactive,598.0,875.0,770.0,828.0,567.0,762.0,593.0,666.0
G0008,G0008_77,inactive,1240.0,1103.0,1184.0,1218.0,1353.0,880.0,1149.0,960.0
G0008,G0008_78,inactive,189.0,267.0,266.0,210.0,165.0,202.0,188.0,178.0
G0008,G0008_79,inactive,1061.0,976.0,1204.0,1048.0,1004.0,884.0,960.0,798.0
G0008,G0008_80,inactive,1034.0,1303.0,1550.0,1296.0,1040.0,1343.0,1223.0,1055.0
G0009,G0009_81,inactive,361.0,343.0,285.0,283.0,325.0,372.0,227.0,239.0
G0009,G0009_82,inactive,294.0,199.0,328.0,264.0,264.0,189.0,250.0,180.0
G0009,G0009_83,inactive,1141.0,1033.0,1027.0,1208.0,1104.0,963.0,988.0,1015.0
G0009,G0009_84,inactive,2100.0,2090.0,2162.0,2214.0,2112.0,1786.0,1842.0,1908.0
G0009,G0009_85,inactive,425.0,495.0,477.0,590.0,440.0,434.0,411.0,574.0
G0009,G0009_86,inactive,349.0,330.0,396.0,333.0,304.0,252.0,239.0,241.0
G0009,G0009_87,inactive,1188.0,1184.0,1227.0,1156.0,1304.0,964.0,971.0,940.0
G0009,G0009_88,inactive,856.0,912.0,857.0,1096.0,848.0,963.0,726.0,875.0
G0009,G0009_89,inactive,1481.0,1588.0,1630.0,1704.0,1515.0,1512.0,1445.0,1536.0
G0009,G0009_90,inactive,236.0,288.0,372.0,368.0,207.0,327.0,385.0,321.0
G0010,G0010_91,negcontrol,686.0,724.0,787.0,792.0,657.0,665.0,757.0,652.0
G0010,G0010_92,negcontrol,1404.0,1306.0,1264.0,1385.0,1313.0,1116.0,1156.0,1112.0
G0010,G0010_93,negcontrol,759.0,726.0,942.0,691.0,643.0,598.0,939.0,547.0
G0010,G0010_94,negcontrol,1983.0,2184.0,2194.0,2355.0,2003.0,2068.0,2001.0,1985.0
G0010,G0010_95,negcontrol,1957.0,2068.0,2135.0,1933.0,1993.0,2149.0,1859.0,1631.0
G0010,G0010_96,negcontrol,1553.0,1827.0,1623.0,1527.0,1515.0,1621.0,1648.0,1222.0
G0010,G0010_97,negcontrol,901.0,855.0,963.0,939.0,789.0,920.0,812.0,778.0
G0010,G0010_98,negcontrol,418.0,496.0,439.0,485.0,425.0,423.0,431.0,386.0
G0010,G0010_99,negcontrol,300.0,292.0,338.0,363.0,319.0,364.0,247.0,375.0
G0010,G0010_100,negcontrol,1110.0,957.0,1151.0,1048.0,1129.0,899.0,949.0,832.0
G0011,G0011_101,inactive,281.0,318.0,365.0,378.0,247.0,186.0,346.0,426.0
G0011,G0011_102,inactive,457.0,541.0,572.0,526.0,394.0,528.0,481.0,401.0
G0011,G0011_103,inactive,2130.0,1923.0,2013.0,2128.0,2200.0,1767.0,1818.0,1747.0
G0011,G0011_104,inactive,626.0,714.0,678.0,786.0,440.0,692.0,577.0,678.0
G0011,G0011_105,inactive,1663.0,1354.0,1645.0,1555.0,1722.0,1081.0,1663.0,1517.0
G0011,G0011_106,inactive,549.0,477.0,526.0,614.0,619.0,467.0,455.0,492.0
G0011,G0011_107,inactive,243.0,214.0,279.0,327.0,301.0,249.0,313.0,216.0
G0011,G0011_108,inactive,874.0,877.0,988.0,980.0,741.0,778.0,1026.0,869.0
G0011,G0011_109,inactive,751.0,702.0,827.0,671.0,818.0,748.0,668.0,553.0
G0011,G0011_110,inactive,537.0,534.0,562.0,500.0,578.0,422.0,434.0,360.0
G0012,G0012_111,inactive,734.0,769.0,763.0,779.0,648.0,625.0,640.0,730.0
G0012,G0012_112,inactive,570.0,724.0,558.0,565.0,718.0,776.0,563.0,486.0
G0012,G0012_113,inactive,481.0,568.0,606.0,532.0,406.0,430.0,645.0,439.0
G0012,G0012_114,inactive,564.0,675.0,614.0,614.0,618.0,589.0,515.0,518.0
G0012,G0012_115,inactive,507.0,835.0,842.0,768.0,631.0,588.0,848.0,731.0
G0012,G0012_116,inactive,841.0,807.0,908.0,673.0,840.0,850.0,847.0,501.0
G0012,G0012_117,inactive,1866.0,1925.0,1972.0,1969.0,1559.0,1677.0,1690.0,1517.0
G0012,G0012_118,inactive,300.0,357.0,333.0,371.0,284.0,457.0,267.0,252.0
G0012,G0012_119,inactive,3603.0,3488.0,3784.0,3407.0,3590.0,3206.0,3399.0,3027.0
G0012,G0012_120,inactive,773.0,838.0,735.0,830.0,694.0,906.0,636.0,568.0
G0013,G0013_121,inactive,971.0,922.0,926.0,849.0,880.0,785.0,870.0,760.0
G0013,G0013_122,inactive,283.0,250.0,221.0,229.0,268.0,259.0,194.0,164.0
G0013,G0013_123,inactive,3243.0,3122.0,3118.0,3354.0,3262.0,2765.0,2712.0,2697.0
G0013,G0013_124,inactive,430.0,358.0,445.0,483.0,388.0,311.0,423.0,375.0
G0013,G0013_125,inactive,794.0,838.0,889.0,737.0,830.0,912.0,779.0,718.0
G0013,G0013_126,inactive,1615.0,1539.0,1699.0,1861.0,1683.0,1442.0,1559.0,1529.0
G0013,G0013_127,inactive,224.0,238.0,305.0,271.0,285.0,290.0,262.0,252.0
G0013,G0013_128,inactive,378.0,535.0,430.0,524.0,368.0,475.0,387.0,437.0
G0013,G0013_129,inactive,826.0,839.0,854.0,793.0,720.0,797.0,653.0,593.0
G0013,G0013_130,inactive,495.0,511.0,459.0,522.0,534.0,474.0,382.0,476.0
G0014,G0014_131,inactive,560.0,517.0,652.0,514.0,525.0,484.0,581.0,549.0
G0014,G0014_132,inactive,1349.0,1312.0,1280.0,1425.0,1368.0,1449.0,1055.0,1330.0
G0014,G0014_133,inactive,1465.0,1745.0,1755.0,1531.0,1407.0,1548.0,1433.0,1285.0
G0014,G0014_134,inactive,439.0,549.0,406.0,598.0,344.0,471.0,388.0,453.0
G0014,G0014_135,inactive,683.0,741.0,876.0,787.0,536.0,774.0,701.0,662.0
G0014,G0014_136,inactive,464.0,341.0,425.0,393.0,384.0,424.0,403.0,363.0
G0014,G0014_137,inactive,520.0,583.0,610.0,517.0,442.0,596.0,439.0,439.0
G0014,G0014_138,inactive,483.0,553.0,528.0,454.0,518.0,487.0,451.0,380.0
G0014,G0014_139,inactive,848.0,807.0,790.0,786.0,696.0,650.0,701.0,529.0
G0014,G0014_140,inactive,971.0,968.0,980.0,1039.0,1019.0,948.0,823.0,756.0
G0015,G0015_141,inactive,681.0,857.0,570.0,653.0,677.0,912.0,531.0,596.0
G0015,G0015_142,inactive,351.0,425.0,294.0,388.0,310.0,460.0,231.0,285.0
G0015,G0015_143,inactive,2338.0,2195.0,2419.0,2339.0,2186.0,2046.0,2405.0,2096.0
G0015,G0015_144,inactive,672.0,824.0,829.0,848.0,695.0,957.0,768.0,613.0
G0015,G0015_145,inactive,1881.0,2023.0,2067.0,2111.0,1724.0,1742.0,1677.0,1925.0
G0015,G0015_146,inactive,793.0,894.0,799.0,871.0,770.0,854.0,797.0,811.0
G0015,G0015_147,inactive,584.0,622.0,499.0,599.0,480.0,540.0,501.0,519.0
G0015,G0015_148,inactive,2876.0,3054.0,3027.0,3324.0,2921.0,2784.0,2632.0,2820.0
G0015,G0015_149,inactive,1388.0,1165.0,1393.0,1315.0,1367.0,1127.0,1443.0,1190.0
G0015,G0015_150,inactive,411.0,599.0,577.0,399.0,451.0,598.0,539.0,282.0
G0016,G0016_151,inactive,679.0,654.0,699.0,739.0,709.0,688.0,748.0,586.0
G0016,G0016_152,inactive,957.0,1135.0,1259.0,1182.0,1036.0,1113.0,1126.0,944.0
G0016,G0016_153,inactive,1920.0,2147.0,1835.0,1706.0,1868.0,1733.0,1678.0,1536.0
G0016,G0016_154,inactive,771.0,737.0,768.0,770.0,725.0,700.0,589.0,711.0
G0016,G0016_155,inactive,1385.0,1244.0,1565.0,1372.0,1287.0,1209.0,1270.0,1086.0
G0016,G0016_156,inactive,402.0,388.0,449.0,351.0,491.0,337.0,454.0,322.0
G0016,G0016_157,inactive,533.0,476.0,548.0,563.0,479.0,415.0,544.0,440.0
G0016,G0016_158,inactive,2216.0,2103.0,2091.0,2060.0,2156.0,1707.0,1776.0,1841.0
G0016,G0016_159,inactive,870.0,1000.0,930.0,903.0,887.0,797.0,795.0,920.0
G0016,G0016_160,inactive,828.0,904.0,842.0,1066.0,752.0,827.0,766.0,755.0
G0017,G0017_161,inactive,467.0,535.0,390.0,518.0,412.0,435.0,259.0,383.0
G0017,G0017_162,inactive,1546.0,1437.0,1575.0,1423.0,1516.0,1319.0,1305.0,1058.0
