gene,barcodeid,class,L1,H1,L2,H2,L3,H3,L4,H4
G0001,G0001_1,inactive,1320.0,1337.0,1320.0,1337.0,1320.0,1337.0,1320.0,1337.0
G0001,G0001_2,inactive,1353.0,1539.0,1353.0,1539.0,1353.0,1539.0,1353.0,1539.0
G0001,G0001_3,inactive,2931.0,2946.0,2931.0,2946.0,2931.0,2946.0,2931.0,2946.0
G0001,G0001_4,inactive,804.0,772.0,804.0,772.0,804.0,772.0,804.0,772.0
G0001,G0001_5,inactive,371.0,417.0,371.0,417.0,371.0,417.0,371.0,417.0
G0001,G0001_6,inactive,3865.0,3802.0,3865.0,3802.0,3865.0,3802.0,3865.0,3802.0
G0001,G0001_7,inactive,2428.0,2749.0,2428.0,2749.0,2428.0,2749.0,2428.0,2749.0
G0001,G0001_8,inactive,2703.0,2757.0,2703.0,2757.0,2703.0,2757.0,2703.0,2757.0
G0001,G0001_9,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0001,G0001_10,inactive,2763.0,2729.0,2763.0,2729.0,2763.0,2729.0,2763.0,2729.0
G0002,G0002_11,inactive,1871.0,1784.0,1871.0,1784.0,1871.0,1784.0,1871.0,1784.0
G0002,G0002_12,inactive,725.0,810.0,725.0,810.0,725.0,810.0,725.0,810.0
G0002,G0002_13,inactive,2213.0,2303.0,2213.0,2303.0,2213.0,2303.0,2213.0,2303.0
G0002,G0002_14,inactive,686.0,760.0,686.0,760.0,686.0,760.0,686.0,760.0
G0002,G0002_15,inactive,867.0,959.0,867.0,959.0,867.0,959.0,867.0,959.0
G0002,G0002_16,inactive,607.0,711.0,607.0,711.0,607.0,711.0,607.0,711.0
G0002,G0002_17,inactive,2097.0,2111.0,2097.0,2111.0,2097.0,2111.0,2097.0,2111.0
G0002,G0002_18,inactive,2561.0,2574.0,2561.0,2574.0,2561.0,2574.0,2561.0,2574.0
G0002,G0002_19,inactive,1292.0,1356.0,1292.0,1356.0,1292.0,1356.0,1292.0,1356.0
G0002,G0002_20,inactive,1130.0,1072.0,1130.0,1072.0,1130.0,1072.0,1130.0,1072.0
G0003,G0003_21,inactive,636.0,691.0,636.0,691.0,636.0,691.0,636.0,691.0
G0003,G0003_22,inactive,1907.0,1899.0,1907.0,1899.0,1907.0,1899.0,1907.0,1899.0
G0003,G0003_23,inactive,367.0,384.0,367.0,384.0,367.0,384.0,367.0,384.0
G0003,G0003_24,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0003,G0003_25,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0003,G0003_26,inactive,462.0,540.0,462.0,540.0,462.0,540.0,462.0,540.0
G0003,G0003_27,inactive,910.0,840.0,910.0,840.0,910.0,840.0,910.0,840.0
G0003,G0003_28,inactive,1012.0,1186.0,1012.0,1186.0,1012.0,1186.0,1012.0,1186.0
G0003,G0003_29,inactive,1296.0,1549.0,1296.0,1549.0,1296.0,1549.0,1296.0,1549.0
G0003,G0003_30,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0004,G0004_31,inactive,226.0,274.0,226.0,274.0,226.0,274.0,226.0,274.0
G0004,G0004_32,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0004,G0004_33,inactive,1091.0,1041.0,1091.0,1041.0,1091.0,1041.0,1091.0,1041.0
G0004,G0004_34,inactive,803.0,731.0,803.0,731.0,803.0,731.0,803.0,731.0
G0004,G0004_35,inactive,1588.0,1674.0,1588.0,1674.0,1588.0,1674.0,1588.0,1674.0
G0004,G0004_36,inactive,559.0,593.0,559.0,593.0,559.0,593.0,559.0,593.0
G0004,G0004_37,inactive,401.0,441.0,401.0,441.0,401.0,441.0,401.0,441.0
G0004,G0004_38,inactive,716.0,580.0,716.0,580.0,716.0,580.0,716.0,580.0
G0004,G0004_39,inactive,850.0,793.0,850.0,793.0,850.0,793.0,850.0,793.0
G0004,G0004_40,inactive,525.0,585.0,525.0,585.0,525.0,585.0,525.0,585.0
G0005,G0005_41,inactive,1053.0,1111.0,1053.0,1111.0,1053.0,1111.0,1053.0,1111.0
G0005,G0005_42,inactive,1127.0,1080.0,1127.0,1080.0,1127.0,1080.0,1127.0,1080.0
G0005,G0005_43,inactive,210.0,346.0,210.0,346.0,210.0,346.0,210.0,346.0
G0005,G0005_44,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0005,G0005_45,inactive,1762.0,1589.0,1762.0,1589.0,1762.0,1589.0,1762.0,1589.0
G0005,G0005_46,inactive,898.0,958.0,898.0,958.0,898.0,958.0,898.0,958.0
G0005,G0005_47,inactive,505.0,580.0,505.0,580.0,505.0,580.0,505.0,580.0
G0005,G0005_48,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0005,G0005_49,inactive,2240.0,2461.0,2240.0,2461.0,2240.0,2461.0,2240.0,2461.0
G0005,G0005_50,inactive,279.0,342.0,279.0,342.0,279.0,342.0,279.0,342.0
G0006,G0006_51,inactive,717.0,602.0,717.0,602.0,717.0,602.0,717.0,602.0
G0006,G0006_52,inactive,1014.0,997.0,1014.0,997.0,1014.0,997.0,1014.0,997.0
G0006,G0006_53,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0006,G0006_54,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0006,G0006_55,inactive,2654.0,2806.0,2654.0,2806.0,2654.0,2806.0,2654.0,2806.0
G0006,G0006_56,inactive,3176.0,3230.0,3176.0,3230.0,3176.0,3230.0,3176.0,3230.0
G0006,G0006_57,inactive,1077.0,963.0,1077.0,963.0,1077.0,963.0,1077.0,963.0
G0006,G0006_58,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0006,G0006_59,inactive,355.0,422.0,355.0,422.0,355.0,422.0,355.0,422.0
G0006,G0006_60,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
