"","gene","sgRNA","class","L1","L2","L3","L4","H1","H2","H3","H4"
"1","G0001","G0001_01","inactive",668,281,460,647,556,269,537,565
"2","G0001","G0001_02","inactive",826,775,630,786,926,851,480,898
"3","G0001","G0001_03","inactive",418,247,122,273,418,273,48,423
"4","G0001","G0001_04","inactive",2074,2096,1785,1774,2108,1660,1935,1790
"5","G0001","G0001_05","inactive",398,457,560,232,536,610,754,331
"6","G0001","G0001_06","inactive",593,569,480,468,649,550,536,409
"7","G0001","G0001_07","inactive",848,626,888,698,1121,564,957,744
"8","G0001","G0001_08","inactive",217,202,241,108,161,172,143,122
"9","G0001","G0001_09","inactive",545,664,886,671,460,630,952,901
"10","G0001","G0001_10","inactive",1163,1428,905,1217,1277,1176,1130,1082
"11","G0002","G0002_01","inactive",959,642,322,319,925,439,566,255
"12","G0002","G0002_02","inactive",300,649,747,548,297,608,844,551
"13","G0002","G0002_03","inactive",743,529,346,299,754,491,432,385
"14","G0002","G0002_04","inactive",195,308,433,431,225,245,543,386
"15","G0002","G0002_05","inactive",1013,733,908,489,911,628,755,373
"16","G0002","G0002_06","inactive",658,655,715,787,854,726,919,891
"17","G0002","G0002_07","inactive",360,377,203,88,537,296,428,129
"18","G0002","G0002_08","inactive",1914,2181,1722,2092,1926,1967,1986,2029
"19","G0002","G0002_09","inactive",766,673,712,1073,701,660,844,1088
"20","G0002","G0002_10","inactive",888,1072,690,916,1297,881,819,1118
"21","G0003","G0003_01","inactive",1164,1430,1242,1515,1223,1261,1361,1281
"22","G0003","G0003_02","inactive",2060,1692,1553,1916,1939,1857,1763,1772
"23","G0003","G0003_03","inactive",4013,3847,3355,4037,3939,4161,3981,3887
"24","G0003","G0003_04","inactive",2474,3519,2503,2697,2596,3313,2828,2450
"25","G0003","G0003_05","inactive",749,258,600,305,554,286,843,467
"26","G0003","G0003_06","inactive",854,842,776,1213,1155,760,921,1163
"27","G0003","G0003_07","inactive",2497,2297,2510,2544,2807,2368,2806,2436
"28","G0003","G0003_08","inactive",575,913,975,810,533,814,1084,820
"29","G0003","G0003_09","inactive",225,306,383,318,231,206,329,226
"30","G0003","G0003_10","inactive",2027,2181,1438,1716,2415,1822,1345,1645
"31","G0004","G0004_01","inactive",508,424,382,485,475,456,266,361
"32","G0004","G0004_02","inactive",831,857,761,739,899,725,1136,958
"33","G0004","G0004_03","inactive",1178,885,951,853,1056,770,901,816
"34","G0004","G0004_04","inactive",247,67,288,638,160,50,443,574
"35","G0004","G0004_05","inactive",320,364,400,391,289,380,452,265
"36","G0004","G0004_06","inactive",449,496,167,234,283,467,134,177
"37","G0004","G0004_07","inactive",133,245,178,251,202,136,296,238
"38","G0004","G0004_08","inactive",359,125,0,233,332,158,0,280
"39","G0004","G0004_09","inactive",595,637,623,288,579,741,738,228
"40","G0004","G0004_10","inactive",1468,1177,810,733,1310,856,706,779
"41","G0005","G0005_01","inactive",92,222,43,311,124,190,134,300
"42","G0005","G0005_02","inactive",638,822,758,642,748,941,971,682
"43","G0005","G0005_03","inactive",1106,903,948,756,1059,854,959,819
"44","G0005","G0005_04","inactive",418,829,871,328,347,502,863,361
"45","G0005","G0005_05","inactive",63,246,122,322,47,193,195,375
"46","G0005","G0005_06","inactive",2981,3604,2993,3636,2963,3450,2970,3317
"47","G0005","G0005_07","inactive",402,770,698,283,369,688,731,287
"48","G0005","G0005_08","inactive",478,597,254,54,481,528,416,25
"49","G0005","G0005_09","inactive",318,0,271,178,436,0,362,139
"50","G0005","G0005_10","inactive",279,109,164,358,278,122,202,339
"51","G0006","G0006_01","inactive",1691,2053,1539,1594,1504,1977,1787,1638
"52","G0006","G0006_02","inactive",1523,935,997,884,1505,1128,1219,1170
"53","G0006","G0006_03","inactive",560,473,957,538,689,343,855,601
"54","G0006","G0006_04","inactive",726,932,709,825,744,924,719,836
"55","G0006","G0006_05","inactive",1966,2206,2683,2581,1743,2255,3111,3194
"56","G0006","G0006_06","inactive",607,1048,1227,876,838,1078,1149,1157
