gene,p_value,t_value,df
G0001,0.7606018520130045,0.30469853699761773,10415.111760465992
G0002,0.9657358782053636,0.042958026231627686,9690.652275096414
G0003,0.8324925159822019,0.21151467330196522,6308.566512604999
G0004,0.9415293396598776,-0.07335071569399204,6365.670313208362
G0005,0.9506654998815929,-0.06187294061007239,8335.640845701575
G0006,0.7548474370533877,0.3122654398223059,7540.573991750183
G0007,0.8094014316168898,0.24120545600135235,8911.66618445715
G0008,0.7804440715507366,0.2787493007702345,8418.450589208234
G0009,0.8340362359922064,0.20953425087197441,8476.32078261019
G0010,0.993177910330244,0.00855070968656188,5566.054404480402
G0011,0.8088661817859943,-0.2418964647374112,8563.392607222715
G0012,0.8320113205488504,0.21213025057167223,7327.215908499694
G0013,0.9880234541821098,0.015011376270727067,8562.736727166597
G0014,0.927938633434642,0.09044059833224007,11782.053880772712
G0015,0.9457011931786079,0.06810791206668579,9319.458164631475
G0016,0.7967998369392277,0.2574990768082398,8397.853389944372
G0017,0.9324690114555099,-0.08474135763485915,8499.243731316159
G0018,0.9305799561383921,-0.08711872045735962,6205.330876589456
G0019,0.9992672619372232,-0.0009183782387014297,8460.582815678423
G0020,0.9783359371818519,0.02715617861598848,7037.553987512119
G0021,0.9609290043845913,0.04898985571233419,6023.687605011141
G0022,0.4893838991628445,0.6913156583931583,9606.423268517898
G0023,0.8477442085826432,-0.1920046604726027,6895.462229735907
G0024,0.9131029081230433,0.10912863018699126,8969.3048218719
G0025,0.7366141325216979,0.33635265634491335,7682.807490702338
G0026,0.9689953057148644,0.03887027209608101,5215.771139248018
G0027,0.9946307940855321,-0.006729496759602424,11659.888851920135
G0028,0.9315017770896239,0.0859589296327454,6347.01516755497
G0029,0.980611113228298,-0.02430354328734164,7741.444190170425
G0030,0.9733791896706003,-0.03337125079623603,10180.077007811718
G0031,0.8178998948226641,0.2302559070066637,6753.7785585564925
G0032,0.9652405556832373,0.043579367241651665,10152.135688132188
G0033,0.9533281802121469,0.058530387052397326,5784.922765106499
G0034,0.9671714996207723,-0.04115754393493386,6849.303375035748
G0035,0.7595120883607183,0.30613910983832116,4771.191231545063
G0036,0.9071663071115945,0.11661791869350804,6749.568058976571
G0037,0.9226001168848081,-0.09716229396306185,7473.252812177068
G0038,0.8299890023404086,0.2147231477332973,7512.535889888507
G0039,0.9870307898386879,0.01625599766605084,5162.580698193387
G0040,0.8250008634842527,0.2211257541713799,7114.376803892194
G0041,0.8902471941741534,-0.13799794621826522,5391.377770623552
G0042,0.9778944843155344,0.027709403991823027,9855.551186983028
G0043,0.9693658892882793,0.03840520506642715,5997.261032609367
G0044,0.9025184460962388,0.1224850137012222,6968.30081289182
G0045,0.8362394736876668,-0.20671087341669375,11049.97913509402
G0046,0.867326854392066,0.167059529602188,9266.429345143231
G0047,0.9414198947468737,0.07348696226270893,11517.586477219413
G0048,0.8367557671199242,0.20605019099227748,10327.682771256925
G0049,0.9406452796174445,0.07446080167781136,9612.854580230985
G0050,0.8726546631829875,0.1602955717567438,5046.059765210537
G0051,0.9868179161215143,0.016522432322599322,10632.866431467552
G0052,0.8813201680084017,0.1493026923254013,5599.182732518968
G0053,0.8447932226837127,0.195773314328545,7071.893572049832
G0054,0.9254681106545295,0.0935508215154816,8783.571073906638
G0055,0.9079469327154905,0.11563599101976955,3938.4593961244705
G0056,0.8959188942185246,0.13082461070425386,5436.620000653262
G0057,0.7928641434039145,0.2626002195064868,9994.344764965685
G0058,0.8956023237316533,0.13122170281369888,11018.572051257692
G0059,0.9782606459014778,0.027250290628817998,10042.796817281112
G0060,0.8690121223049276,0.16491928981832174,7226.040189149857
G0061,0.7118973470606509,0.36932260686878265,7765.271074138635
G0062,0.9300423212124467,0.08779433256504818,8068.020128204657
G0063,0.8916795140660578,0.13618265426991183,10435.868062441643
G0064,0.9604352915898364,-0.049608943701525084,7787.584034595146
G0065,0.8575899082849139,-0.17945046515505314,6162.916267806095
G0066,0.9335902927632496,-0.08333154262352853,7029.8678015616215
G0067,0.9817211200421667,0.022911936842349136,7601.637867067994
G0068,0.9865183057529063,-0.01689823072747728,6721.934200409943
G0069,0.8667840113769927,0.1677492916612321,9705.979698924662
G0070,0.931708065670797,0.08569871626026387,8005.798213603298
G0071,0.9457812862862025,0.06800678986417057,12863.117461475516
G0072,0.7816931404095193,0.2771212295578967,9360.530813471953
G0073,0.9775600201228287,0.028128896202660826,8343.147936325824
G0074,0.9903309540610954,0.012119158129390465,5946.888063044438
G0075,0.7624160742894543,0.3023188281032204,8921.433638952183
G0076,0.9819759356895741,-0.022592181076304133,12702.636074895667
G0077,0.8332915454483958,0.21048933598373837,7430.466452345308
G0078,0.8782529850354699,0.15318892048327712,8375.590838268632
G0079,0.9654725115705429,0.04328878403738361,7326.349228504148
G0080,0.8855673579775529,-0.14392049773006796,7058.359092072144
G0081,0.8412128132786392,0.20034934880682115,7484.821234521197
G0082,0.8832337869188054,0.1468779115019581,5482.957604220724
G0083,0.9535744033637861,-0.05822072260173168,7321.307459460504
G0084,0.9998143497237355,-0.00023268714721701723,6442.448313245313
G0085,0.7884045149288488,0.2683888121975233,12399.953969201708
G0086,0.9642900636041529,0.04477245243453793,6474.364477514015
G0087,0.990317011835929,-0.01213651774512829,7704.158530378406
G0088,0.8777320142020528,0.15384955888685264,8487.848167413676
G0089,0.9254139866098336,0.09361940434963303,7527.014188440684
G0090,0.9583638147712996,0.05220930843865969,5492.035282206003
G0091,0.9822333666665739,-0.022269759915470987,7459.07372664198
G0092,0.9383720129799182,0.07731995039290787,5168.813635841653
G0093,0.9958548597420902,-0.0051953918216800865,6318.452385150487
G0094,0.9385980185583005,0.07703488370110516,6928.537662613834
G0095,0.9889137869453051,-0.013895456746982643,6919.973775564276
G0096,0.865986250857655,-0.16876592106604069,6221.700030708226
G0097,0.9825333050362608,0.021893762508258804,7224.193280903151
G0098,0.8052674405777396,0.24654733605848628,5702.40288225025
G0099,0.0,-61.119734267186956,15141.591216364284
G0100,0.7196085095379106,0.3589961724527192,7179.367215704059
G0101,0.8613859311772551,0.17461468709160877,10031.203097711805
G0102,0.9732709866716824,-0.03350701938714523,9309.222398238977
G0103,0.9922044600789108,-0.009770762170844546,7053.560026459163
G0104,0.8812428631700164,-0.1494006498988869,5616.369847909866
G0105,0.7966954636630514,0.25763373340364437,9029.706365329379
G0106,0.9889580094397727,0.013839973726256435,7705.987244221649
G0107,0.982287606896854,0.022201669023510638,8507.61161964906
G0108,0.9388011296737884,-0.07677937703223983,7410.855979773619
G0109,0.9755389527748342,0.030663729785642628,4951.707827910912
G0110,0.9939875329828316,0.00753579689990958,8735.712770081998
G0111,0.9531775503439865,-0.0587185922137895,9025.795350362761
G0112,0.8457679422836497,0.1945251264206872,12276.220450455723
G0113,0.9902902715387747,0.012170054896739405,7339.997474013793
G0114,0.9086165181956878,0.11478665728605095,10049.991074151909
G0115,0.9044053684427749,0.12010109959440085,10457.88049965446
G0116,0.8387266112800731,0.20353379973481536,4716.146890035988
G0117,0.9104757279530387,0.11244241296937593,7280.101204979512
G0118,0.9148156862740682,0.10697053355464728,6444.154160994932
G0119,0.939440486233083,0.0759766201673135,5452.505526211851
G0120,0.8445419208813258,0.19609493419611632,6575.459325739115
G0121,0.9905855945920541,0.011799803065578818,9166.00247283599
G0122,0.9852692733008717,0.018463950723335947,6853.3682000389035
G0123,0.8486904653357521,-0.19079504786146279,9014.283678576277
G0124,0.9385831706129755,0.0770537250943597,6517.775786216792
