gene,sgRNA,p_value,t_value,grho,rho,df
G0001,G0001_1,0.7530432808051848,0.31463774781579823,0.4545663893222809,0.42296960949897766,9997.791117247427
G0001,G0001_2,0.5410080139591782,0.6113193242877843,0.4545663893222809,0.5219554305076599,7013.21198906859
G0001,G0001_3,0.7307925208192558,0.3440803632248758,0.4545663893222809,0.45650720596313477,10845.5714904829
G0001,G0001_4,0.8341480732193247,0.20938934176296187,0.4545663893222809,0.3444277346134186,11341.284933975785
G0001,G0001_5,0.755783840990784,0.3110297925336802,0.4545663893222809,0.44412514567375183,11047.929880772313
G0001,G0001_6,0.8105972850780772,0.23966182703478586,0.4545663893222809,0.5078572034835815,10117.510930569391
G0001,G0001_7,0.8363316758427652,0.20659295961315702,0.4545663893222809,0.45235154032707214,10738.537774671753
G0001,G0001_8,0.6525327050310876,0.45025845564671185,0.4545663893222809,0.5223340392112732,11331.147743014833
G0001,G0001_9,0.7269773636211934,0.34915816813095646,0.4545663893222809,0.3874596953392029,10820.107033235603
G0001,G0001_10,0.9913374251438405,0.010857389925466171,0.4545663893222809,0.4856763780117035,10898.024711621309
G0002,G0002_11,0.9995119194040272,0.0006117371751042031,0.48563989996910095,0.4988209009170532,8123.501607542352
G0002,G0002_12,0.7024302198357237,-0.3820583261054207,0.48563989996910095,0.5527490973472595,6699.738504750356
G0002,G0002_13,0.663145662828672,0.43558613849956646,0.48563989996910095,0.5908660292625427,10889.980656729682
G0002,G0002_14,0.9406834626794116,-0.07441277864070871,0.48563989996910095,0.45474275946617126,9781.959667024954
G0002,G0002_15,0.8576849950751724,-0.17932608324388616,0.48563989996910095,0.4876845180988312,10917.729469466762
G0002,G0002_16,0.8505174798410922,0.1884626661912413,0.48563989996910095,0.3917228877544403,10924.227829294749
G0002,G0002_17,0.7386096840096008,0.33370608243672417,0.48563989996910095,0.5510340929031372,8405.096552162087
G0002,G0002_18,0.8715763918237627,0.1616602839289321,0.48563989996910095,0.44669291377067566,10850.538442995528
G0002,G0002_19,0.9165128493688788,-0.10483012268844065,0.48563989996910095,0.4647037386894226,9377.099998401689
G0002,G0002_20,0.9599793357972437,0.050180664763164774,0.48563989996910095,0.41738227009773254,10936.650022595994
G0003,G0003_21,0.8122929521291193,0.23747838448823785,0.38871416449546814,0.39015260338783264,6695.635048414227
G0003,G0003_22,0.8817593975595508,0.14874479727697154,0.38871416449546814,0.46543627977371216,6837.832055111565
G0003,G0003_23,0.8082923709195091,0.2426398015065745,0.38871416449546814,0.4176306426525116,6278.52867781781
G0003,G0003_24,0.8791043953884656,0.1521103180013156,0.38871416449546814,0.23682859539985657,6866.310227547249
G0003,G0003_25,0.7960145456352146,0.25851945250148606,0.38871416449546814,0.3861163258552551,6253.811532275473
G0003,G0003_26,0.921747141956996,0.09823678830303681,0.38871416449546814,0.2178489714860916,6857.690862444927
G0003,G0003_27,0.8941771912442362,0.13302544796035604,0.38871416449546814,0.48080670833587646,6799.500150021933
G0003,G0003_28,0.6641880243126481,0.4341634059830701,0.38871416449546814,0.5365113615989685,5135.323372645847
G0003,G0003_29,0.8286553220290078,0.2164373998157987,0.38871416449546814,0.48513442277908325,5190.355411286204
G0003,G0003_30,0.8463459622086165,0.193790937182805,0.38871416449546814,0.270675927400589,6170.67778848475
G0004,G0004_31,0.9259363724399687,-0.09296203371458668,0.4168311059474945,0.427040159702301,7029.571360742923
G0004,G0004_32,0.9848207510940126,-0.01902619464909329,0.4168311059474945,0.37849161028862,7000.570391790857
G0004,G0004_33,0.9132391942374702,-0.10895764627029905,0.4168311059474945,0.3949149549007416,7028.045353923391
G0004,G0004_34,0.917742640384106,-0.10328156352838258,0.4168311059474945,0.46370428800582886,6610.689658488057
G0004,G0004_35,0.94010114365524,-0.07514555912659437,0.4168311059474945,0.3927696943283081,6697.439130132664
G0004,G0004_36,0.9751052263945925,-0.031207187626051812,0.4168311059474945,0.4167943298816681,6779.837136232775
G0004,G0004_37,0.9120310340088613,-0.11048310676726315,0.4168311059474945,0.3780965209007263,4631.168342500721
G0004,G0004_38,0.9743587208717361,0.03214338663573877,0.4168311059474945,0.4197249710559845,6306.8096521100515
G0004,G0004_39,0.9368552218846158,-0.07922706914906942,0.4168311059474945,0.4339960515499115,4942.020586086251
G0004,G0004_40,0.8844309186249051,-0.14536018274431886,0.4168311059474945,0.4627789556980133,6630.551520075935
G0005,G0005_41,0.9087552155573024,-0.1146140850900559,0.43703633546829224,0.4692613482475281,5477.928582700453
G0005,G0005_42,0.9166904457910336,-0.10460663809795362,0.43703633546829224,0.3811148405075073,8396.193149496776
G0005,G0005_43,0.9589606068090917,-0.05145960354371237,0.43703633546829224,0.4491722583770752,7810.532922768667
G0005,G0005_44,0.890312246118206,-0.13791313674054081,0.43703633546829224,0.319587379693985,8737.004695175105
