gene,p_value,t_value,df
G0001,0.5137324896021278,-0.6533001692431115,884.8937852346695
G0002,0.7628786285076603,-0.3018723744565467,485.47176913656267
G0003,0.3571717723787766,-0.9213251581527082,763.3419281735263
G0004,0.8611985287082502,-0.17493517135221798,521.044105320738
G0005,0.8083085603232072,-0.24269136630518456,776.8038680290126
G0006,0.8794178223878302,-0.15178148230586858,522.9620942500654
G0007,0.8723345799105551,-0.16079685236686447,400.0053941684864
G0008,0.7744384899735408,-0.2866872436008423,685.0476596912365
G0009,0.6765996615260623,-0.4173140951006181,593.2274303429897
G0010,0.7302693010257422,-0.3448901629582671,785.2468456879859
G0011,0.6841331318573265,-0.40707015667439067,493.02116606036805
G0012,0.557291773720137,-0.5871718036439229,651.4260049878202
G0013,0.7213764971120304,-0.3567931744011633,579.6228216178649
G0014,0.7503054126986373,-0.3183763924357446,627.2882676306721
G0015,0.5404871146120809,-0.61233065001163,828.0868620593876
G0016,0.6443412445700747,-0.461830823999213,724.700947298463
G0017,0.41827798265517746,-0.8098236205116691,814.8209382393087
G0018,0.7428405500024367,-0.32824927535447934,585.4900742950884
G0019,0.7072014049408704,-0.37585425386394444,452.46422771453825
G0020,0.8559161922492264,-0.18167038219577414,492.25714001020077
G0021,0.7407603888053473,-0.33099237674335297,629.5040500052482
G0022,0.7918605150919407,-0.26400911308886427,620.7801524334278
G0023,0.7822486368196773,-0.27651597424049706,589.9587483954008
G0024,0.8809760199710923,-0.1498102644529127,489.4691439806641
G0025,0.8631434042740804,-0.1724806392244782,416.7848839397523
G0026,0.6245497430882825,-0.4896714473234954,585.741417849595
G0027,0.8359446622530775,-0.20717208347969818,609.5136396371993
G0028,0.7366081248488032,-0.3364576796446671,857.0213908909557
G0029,0.7204745593413002,-0.3580361419260488,477.2718182188849
G0030,0.6257215827688767,-0.4879666474309081,722.1488934855475
G0031,0.6349352698687918,-0.4749481083262115,931.708648348453
G0032,0.44980767819625855,-0.756007070809266,1094.202481774101
G0033,0.650234605175918,-0.45359859964318705,842.2668400376657
G0034,0.6029996654012693,-0.5203044443932595,776.7283057164556
G0035,0.0,13.006067318762494,6795.956851558779
G0036,0.6223569468070507,-0.4927057696457643,792.6720541790457
G0037,0.7610188133614395,-0.30427508585210855,629.9208433598926
G0038,0.5417235513339378,-0.6104923631662489,738.3990996530499
G0039,0.7340774913835371,-0.3398522696097686,650.4689765143164
G0040,0.7425934923500419,0.32852026672948964,914.9825596992565
G0041,0.8995476963946869,-0.12631918600875566,371.00980398316744
G0042,0.5800394471858603,-0.5535716671240349,739.0627515063587
G0043,0.7125285220291113,-0.3685761905158172,919.1226251014225
G0044,0.5054787895049153,-0.6660992857396111,1171.4285205232136
G0045,0.7263708129598738,-0.3501749638203435,451.1679241667856
G0046,0.7266543701164878,-0.3497213300467702,691.2150543050394
G0047,0.7758682196691076,-0.2848242787189146,659.2546868668111
G0048,0.7212580165422591,-0.356921927189087,698.7328777123782
G0049,0.5677510185978285,-0.5715729856271252,919.2922113964354
G0050,0.7680036007227948,-0.295134497160486,544.6793903826251
G0051,0.7807893641303298,-0.278428281005241,544.242254491313
G0052,0.0,21.77852589821397,8689.912298886562
G0053,0.6183918918441051,-0.4983361178369151,757.0777954206599
G0054,0.48044656139875963,-0.7060918818318185,521.0887889981443
G0055,0.5283153466775232,-0.6308218519648137,910.3491040877568
G0056,0.5741229231613794,-0.5621942954745571,904.6013862643343
G0057,0.6567208571021879,-0.44462417069619625,743.0202581894179
G0058,0.6485504272576637,-0.45595152507103326,788.2151305523315
G0059,0.6737690078438856,-0.4211887429590944,596.405525048631
G0060,0.8915170682228497,-0.1364412827564391,615.3096949046505
G0061,0.6526846683054428,-0.45018215690589364,924.2844428123614
G0062,0.5375027304096403,-0.6167943923684606,1060.5597778150275
G0063,0.6964852230272758,-0.3902593211426375,591.815148648225
G0064,0.8257306940576212,-0.2202720665244676,629.4597937880837
G0065,0.4715996427588074,-0.7202927391061745,660.3766528624853
G0066,0.802357739706463,-0.250454294605941,422.6751208014647
G0067,0.400837489602897,-0.8413337148857716,297.1757955560546
G0068,0.841068915983771,-0.2006400849907395,458.83195543939274
G0069,0.8867933451845298,0.14244141559751194,462.7681404333778
G0070,0.674361404040829,-0.4202925772096049,1006.9287642241048
G0071,0.6249761160142211,-0.489064844369729,594.6657522811302
G0072,0.7866567801287148,-0.27078391161962156,561.2892112890696
G0073,0.7750881044229536,-0.28584759083534933,634.8179840449103
G0074,0.7445031879559041,-0.3260119982005224,775.8606707492643
G0075,0.67849312265882,-0.4147266080068898,588.7518379786931
G0076,0.6964617556132682,-0.39027445761457136,648.5496345056706
G0077,0.6845431819838037,-0.4064841354795897,556.5017078947519
G0078,0.9311770453331061,-0.08644131020219487,281.5736666537588
G0079,0.9942342680081957,0.007228400880342506,875.2116875160657
G0080,0.7710817332665247,-0.29111957603122585,495.316413188141
G0081,0.8938878641808603,-0.13343986182181547,634.0231565942131
G0082,0.8076905644177885,-0.24348858512491253,784.7153105262854
G0083,0.6915430364083952,-0.3970310033194352,426.8503934362566
G0084,0.68918599286769,-0.4001702443106895,551.8219402842107
G0085,0.7051260166652895,-0.3785700621993639,676.0013411926071
G0086,0.4567637568739924,-0.744426707644237,1202.974148642454
G0087,0.7901952910283885,-0.26621240943086805,458.5268718652711
