"","sgRNA","logFC","logCPM","PValue"
"1","G0001_1",0.353882549206538,5.45999662804461,0.841775997197848
"2","G0001_2",-0.0451563907038488,7.99891475936133,0.87012287076547
"3","G0001_3",-0.559946264433955,6.65510910904665,0.397154252055569
"4","G0001_4",-0.200455951699615,6.68833274633865,0.894719291726558
"5","G0001_5",-0.324156843181409,6.5481477010775,0.405237192886608
"6","G0001_6",-0.410401901820299,6.8915670903702,0.252724263951549
"7","G0001_7",-0.752097204653709,6.49852591135167,0.124516063035567
"8","G0001_8",-0.607575503437418,7.82727099441696,0.0739320417326242
"9","G0001_9",-1.0782473076546,7.01016017506388,0.00936231367047107
"10","G0001_10",-0.263706671141347,7.57343392283528,0.531430761075264
"11","G0002_11",-0.243843614986467,6.09956559310886,0.873083479919836
"12","G0002_12",-1.20218310331184,5.60645771440442,0.0869886900382715
"13","G0002_13",-0.225723136164281,5.65605308324186,0.847920628676618
"14","G0002_14",-1.09483304884174,5.27029173608627,0.557938360739355
"15","G0002_15",0.12225049867902,7.15055171973757,0.764580448487582
"16","G0002_16",-0.310109489212732,7.37252210776804,0.309601635712516
"17","G0002_17",-0.29158308595226,7.26977038624773,0.378042374103769
"18","G0002_18",0.135713546131084,5.87841747803205,0.712326486891782
"19","G0002_19",-0.469079446629883,6.92993221574192,0.249163608040544
"20","G0002_20",-0.16624419269758,5.8447433978034,0.710738953730049
"21","G0003_21",-1.04974793714357,6.7103485361498,0.02003701615846
"22","G0003_22",-0.919639024713468,6.31836635872185,0.0730416543901323
"23","G0003_23",-0.174980667796503,6.09196739526969,1
"24","G0003_24",-0.291457454024283,7.77335386094269,0.557062742585853
"25","G0003_25",-0.717419661401659,7.21558979477694,0.08031769437281
"26","G0003_26",-0.668268087452253,7.57891830630839,0.0745744524851692
"27","G0003_27",-1.03271134137614,6.38798028816326,0.0691957356817442
"28","G0003_28",-0.674802612540464,6.74510945949876,0.117568006462589
"29","G0003_29",-0.536718445533735,6.1702113889571,0.559702663599198
"30","G0003_30",-0.574534822891447,7.30372040664549,0.0613946659930923
"31","G0004_31",0.115533590507973,5.75651563673123,1
"32","G0004_32",-0.237580743089389,5.32597253949635,1
"33","G0004_33",0.0341988021270474,6.09806721629526,1
"34","G0004_34",-0.569374993148943,6.80385473375731,0.285036894897394
"35","G0004_35",-0.262120828902171,6.50846594312079,0.591307331307815
"36","G0004_36",-0.415822658138656,7.02121348826541,0.254629327071157
"37","G0004_37",-0.0710798991552531,6.08879103019274,1
"38","G0004_38",0.176880238644342,6.31057641722961,1
"39","G0004_39",-0.188551957717723,7.04576573165201,0.722055372563911
"40","G0004_40",-0.0891061692277402,6.74342011600816,0.811700068076034
"41","G0005_41",-0.0578878235649572,6.60059641362802,1
"42","G0005_42",0.0427674989234706,6.04674226714332,1
"43","G0005_43",0.0738785053703599,6.23736187421292,0.882289959060662
"44","G0005_44",0.367538675447198,5.99969728702754,0.564791762132889
"45","G0005_45",-0.523351837883306,8.15266043078702,0.0599628874287808
"46","G0005_46",-0.268053593452304,7.53860189693394,0.556133571586825
"47","G0005_47",0.112689124092264,6.94906759680773,0.858473282422412
"48","G0005_48",-0.402909631377776,6.21881875919167,0.597217487379862
"49","G0005_49",-0.47366706633574,6.58175588775061,0.356955920506081
"50","G0005_50",-0.4028128348617,6.99493497056816,0.405840855649942
"51","G0006_51",-0.117757466296782,6.57712447635374,1
"52","G0006_52",-0.924886001758715,6.99092508641585,0.050126672587169
"53","G0006_53",-0.109944953864128,5.39648172153193,1
