id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
G0991	10	1.9226e-24	4.9505e-06	0.000707	1	10	-5.5662	1.0	1.0	0.999995	996	0	-5.5662
G0293	10	4.6942e-23	4.9505e-06	0.000707	2	10	-5.8703	1.0	1.0	0.999995	995	0	-5.8703
G0099	10	1.2462e-22	4.9505e-06	0.000707	3	10	-6.0656	1.0	1.0	0.999995	994	0	-6.0656
G0407	10	1.4535e-22	4.9505e-06	0.000707	4	10	-5.5269	1.0	1.0	0.999995	997	0	-5.5269
G0520	10	1.6913e-22	4.9505e-06	0.000707	5	10	-5.1031	1.0	1.0	0.999995	1000	0	-5.1031
G0380	10	1.9635e-22	4.9505e-06	0.000707	6	10	-5.9303	1.0	1.0	0.999995	999	0	-5.9303
G0689	10	3.0331e-22	4.9505e-06	0.000707	7	10	-5.4875	1.0	1.0	0.999995	998	0	-5.4875
G0135	10	0.00077964	0.0027178	0.339728	8	4	-0.036563	0.39842	0.40205	0.994234	378	1	-0.036563
G0904	10	0.0017686	0.0058564	0.650715	9	3	-0.071744	0.97161	0.97173	0.999427	972	0	-0.071744
G0810	10	0.0023375	0.0071436	0.714356	10	2	-0.081325	0.63852	0.6387	0.994234	619	0	-0.081325
G0788	10	0.0050894	0.014183	0.998595	11	3	-0.051065	0.56632	0.56651	0.994234	552	0	-0.051065
G0665	10	0.0060634	0.016856	0.998595	12	3	-0.036188	0.68128	0.68068	0.994234	661	0	-0.036188
G0080	10	0.0088149	0.02348	0.998595	13	2	0.0055674	0.62052	0.62032	0.994234	602	0	0.0055674
G0719	10	0.0089317	0.023777	0.998595	14	2	-0.040299	0.78517	0.78494	0.994234	776	0	-0.040299
G0143	10	0.0091792	0.024401	0.998595	15	3	-0.07273	0.36932	0.37356	0.994234	354	1	-0.07273
G0079	10	0.010641	0.027708	0.998595	16	2	0.034546	0.41096	0.414	0.994234	393	1	0.034546
G0180	10	0.012348	0.031015	0.998595	17	2	-0.037359	0.93659	0.93689	0.994234	937	0	-0.037359
G0086	10	0.014314	0.034025	0.998595	18	2	0.030589	0.37786	0.3819	0.994234	360	1	0.030589
G0839	10	0.015345	0.03552	0.998595	19	2	-0.056203	0.44188	0.44393	0.994234	421	0	-0.056203
G0236	10	0.015495	0.035678	0.998595	20	2	0.031587	0.20231	0.23272	0.994234	215	1	0.031587
G0891	10	0.018465	0.040124	0.998595	21	2	-0.01595	0.73677	0.73602	0.994234	725	0	-0.01595
G0033	10	0.018955	0.041005	0.998595	22	2	0.065507	0.36734	0.37152	0.994234	351	1	0.065507
G0356	10	0.01945	0.041698	0.998595	23	2	-0.090066	0.99	0.9904	0.999995	983	0	-0.090066
G0481	10	0.019616	0.041926	0.998595	24	2	-0.065421	0.99829	0.99813	0.999995	991	0	-0.065421
G0591	10	0.022009	0.045381	0.998595	25	2	-0.1676	0.094247	0.15362	0.994234	131	1	-0.1676
G0959	10	0.02325	0.047252	0.998595	26	2	0.0088798	0.89574	0.89556	0.994234	894	0	0.0088798
G0093	10	0.023791	0.047856	0.998595	27	2	-0.0079412	0.30658	0.31815	0.994234	300	1	-0.0079412
G0897	10	0.025444	0.0505	0.998595	28	2	-0.07973	0.74711	0.74657	0.994234	735	0	-0.07973
G0980	10	0.026383	0.051817	0.998595	29	2	-0.05814	0.83175	0.8309	0.994234	820	0	-0.05814
G0002	10	0.027722	0.053965	0.998595	30	2	-0.02118	0.060771	0.10454	0.994234	82	1	-0.02118
