sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
G0872_8714	G0872	0/0/0/0	186.61/117.04/219.37/103.01	0.11726	149.05	7.0694	0	0.4574	220.22	1	0	0	0	True
G0170_1698	G0170	0/0/0/8.1606	187.61/237.95/190.4/163.32	0.20148	193.03	7.3353	21.156	0.80143	215.39	1	0	0	0	True
G0907_9067	G0907	0/0/2.1281/0	86.28/163.47/152.11/153.12	0.11726	134.63	6.9236	1.3615	0.4574	198.89	1	0	0	0	True
G0170_1699	G0170	0/6.4593/0/0	65.212/166.37/191.43/270.97	0.18459	154.04	7.0321	13.158	0.73192	179.84	1	0	0	0	True
G0170_1691	G0170	0/0/0/0	138.45/144.12/49.669/180.96	0.11726	115.74	6.7072	0	0.4574	170.96	1	0	0	0	True
G0907_9070	G0907	0/0/5.3201/0	146.48/89.956/111.76/202.3	0.17133	131.38	6.8204	8.8661	0.67754	159.4	1	0	0	0	True
G0170_1694	G0170	10.582/2.7683/0/0	336.09/301.79/140.73/258.91	0.644	246.57	7.2345	34.703	2.6727	150.43	1	0	0	0	True
G0872_8719	G0872	0/4.6138/0/1.0201	165.54/121.88/175.91/154.97	0.37935	153.14	6.8041	6.2097	1.5441	122.93	1	0	0	0	True
G0907_9061	G0907	0/0/9.5762/20.401	187.61/289.21/283.53/189.31	1.0868	232.31	6.8048	149.16	4.5983	107.83	1	0	0	0	True
G0907_9063	G0907	17.99/26.76/11.704/36.723	937.05/784.45/1118.6/1013.4	21.337	955.41	5.4201	123.37	100.97	92.955	1	0	0	0	True
G0170_1695	G0170	2.1164/14.764/0/2.0401	291.95/276.64/209.02/167.96	1.5295	230.76	6.5176	59.367	6.554	89.541	1	0	0	0	True
G0872_8715	G0872	26.455/1.8455/10.64/0	354.15/200.22/320.78/282.11	2.6293	283.03	6.2902	213.13	11.496	82.7	1	0	0	0	True
G0907_9069	G0907	0/2.7683/23.409/4.0803	274.89/323.07/251.45/175.39	2.2042	250.17	6.2926	152.77	9.5742	80.138	1	0	0	0	True
G0872_8718	G0872	69.842/35.065/40.433/36.723	1213.9/1423.8/999.59/1175.8	43.672	1193.8	4.7413	272.58	212.42	78.916	1	0	0	0	True
G0872_8711	G0872	7.4075/7.3821/4.2561/1.0201	349.13/423.66/259.73/240.35	3.9688	309.99	5.9678	10.751	17.623	72.898	1	0	0	0	True
G0907_9068	G0907	6.3493/0/0/23.462	177.58/139.29/133.49/141.98	1.0103	147.14	6.2035	178.2	4.263	70.777	1	0	0	0	True
G0170_1692	G0170	28.572/16.61/12.768/15.301	698.27/744.8/536.01/612.47	17.454	642.81	5.1246	50.303	81.966	69.073	1	0	0	0	True
G0872_8717	G0872	23.281/48.906/52.137/55.084	992.22/960.5/1265.5/869.52	42.531	1012	4.5404	220.36	206.66	67.435	1	0	0	0	True
G0907_9062	G0907	12.699/17.533/0/3.0602	226.74/344.35/159.35/194.88	2.806	221.91	5.872	107.56	12.299	62.476	1	0	0	0	True
G0872_8713	G0872	0/6.4593/7.4482/0	80.261/123.81/112.79/131.77	0.73883	110.24	5.9994	26.277	3.0819	62.377	1	0	0	0	True
G0907_9066	G0907	7.4075/4.6138/0/8.1606	258.84/218.6/166.6/149.41	2.2252	193.73	5.9159	24.247	9.6692	61.585	1	0	0	0	True
G0907_9065	G0907	0/3.6911/3.1921/9.1806	242.79/84.152/169.7/224.57	1.7448	167.06	5.9361	21.406	7.5132	60.31	1	0	0	0	True
G0170_1693	G0170	7.4075/0/0/15.301	118.38/123.81/41.391/235.71	0.93696	109.38	5.8325	83.317	3.9427	54.612	1	0	0	0	True
G0170_1697	G0170	2.1164/6.4593/10.64/7.1405	192.63/320.17/417.01/226.43	5.6986	276.25	5.3712	13.303	25.65	53.42	1	0	0	0	True
G0872_8716	G0872	12.699/3.6911/2.1281/0	154.5/169.27/152.11/116	1.7133	146.57	5.7652	42.565	7.3724	53.349	1	0	0	0	True
G0872_8712	G0872	8.4657/4.6138/9.5762/9.1806	234.76/346.28/249.38/270.97	7.6599	272.25	4.9797	5.3043	34.865	44.81	1	0	0	0	True
G0170_1700	G0170	9.5239/25.837/10.64/13.261	400.3/310.49/404.6/269.11	13.657	341.08	4.5446	58.233	63.54	41.075	1	0	0	0	True
G0872_8720	G0872	7.4075/1.8455/11.704/4.0803	237.77/194.42/153.15/158.68	5.0814	183.08	4.9198	20.249	22.773	37.3	1	9.7279e-305	1.9456e-304	6.9485e-302	True
G0293_2924	G0293	1558.7/1426.6/1590.7/2139.1	37.121/67.709/37.252/69.599	1658.5	50.529	-5.0092	99762	9301.7	16.673	1.0344e-62	1	2.0689e-62	7.1341e-60	False
G0293_2926	G0293	1829.7/1350/1457.7/1288.4	27.088/24.182/30.008/28.767	1467.6	27.423	-5.6912	59046	8190.8	15.913	2.5617e-57	1	5.1234e-57	1.7078e-54	False
G0689_6882	G0689	1357.7/1352.8/1294.9/1303.7	72.235/22.247/73.469/38.975	1327	46.329	-4.8103	1060.1	7376.4	14.911	1.4009e-50	1	2.8017e-50	9.0377e-48	False
G0520_5193	G0520	1110.1/1113.8/1036.4/1222	36.117/66.742/37.252/27.839	1118.6	39.768	-4.7794	5853.2	6176.3	13.728	3.4559e-43	1	6.9119e-43	2.16e-40	False
G0380_3796	G0380	807.42/1147.9/1067.2/755.87	39.127/42.56/44.495/46.399	929.88	43.06	-4.401	37226	5096.7	12.422	9.9197e-36	1	1.9839e-35	6.0119e-33	False
