id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
G0913	10	2.12e-08	4.9505e-06	0.002475	1	8	-1.2302	0.9435	0.9437	0.999955	901	0	-1.2302
G0753	10	1.5196e-06	4.9505e-06	0.002475	2	9	-1.1825	0.99972	0.99968	0.999955	997	0	-1.1825
G0562	10	7.4611e-06	4.4554e-05	0.014851	3	9	-0.83233	0.97361	0.97383	0.999955	954	0	-0.83233
G0604	10	0.00020641	0.0012525	0.313119	4	7	-1.0273	0.99875	0.99871	0.999955	991	0	-1.0273
G0792	10	0.00025777	0.001599	0.319802	5	7	-1.1378	0.99738	0.99732	0.999955	987	0	-1.1378
G0308	10	0.00055468	0.0032525	0.473597	6	5	-0.59559	0.5063	0.58858	0.999955	445	1	-0.59559
G0620	10	0.00060629	0.0035396	0.473597	7	8	-0.56429	0.80873	0.80819	0.999955	729	0	-0.56429
G0884	10	0.00068432	0.0040248	0.473597	8	6	-1.0784	0.99982	0.99974	0.999955	998	0	-1.0784
G0113	10	0.00072417	0.0042624	0.473597	9	5	-0.36867	0.97388	0.97418	0.999955	955	0	-0.36867
G0295	10	0.00084933	0.0049059	0.490594	10	7	-0.91753	0.99285	0.99312	0.999955	979	0	-0.91753
G0933	10	0.0010017	0.0056188	0.506188	11	7	-0.98939	0.9878	0.98847	0.999955	973	0	-0.98939
G0354	10	0.0010956	0.0060743	0.506188	12	6	-0.7905	0.80045	0.79996	0.999955	716	0	-0.7905
G0093	10	0.0012907	0.0073119	0.562452	13	7	-0.71543	0.9993	0.99916	0.999955	994	0	-0.71543
G0980	10	0.0015976	0.0089752	0.58396	14	6	-0.78961	0.99045	0.99081	0.999955	976	0	-0.78961
G0956	10	0.0017222	0.0097475	0.58396	15	5	-0.30546	0.82163	0.82124	0.999955	749	0	-0.30546
G0441	10	0.0018088	0.010153	0.58396	16	4	-0.20027	0.80531	0.80491	0.999955	724	0	-0.20027
G0850	10	0.0021248	0.011856	0.58396	17	7	-0.93283	0.99993	0.99988	0.999955	999	0	-0.93283
G0831	10	0.0022033	0.012262	0.58396	18	4	0.029446	0.06721	0.15363	0.999955	80	3	0.029446
G0746	10	0.0022076	0.012272	0.58396	19	7	-0.41404	0.64012	0.66551	0.999955	555	1	-0.41404
G0171	10	0.0022166	0.012312	0.58396	20	5	-0.23245	0.50683	0.58887	0.999955	446	1	-0.23245
G0148	10	0.0024172	0.013064	0.58396	21	7	-0.8715	0.99997	0.99996	0.999955	1000	0	-0.8715
G0102	10	0.0025081	0.01347	0.58396	22	7	-0.72646	0.99778	0.99765	0.999955	989	0	-0.72646
G0957	10	0.002548	0.013668	0.58396	23	3	0.14536	0.14495	0.27912	0.999955	133	3	0.14536
G0003	10	0.0027053	0.01451	0.58396	24	7	-0.44593	0.73557	0.73712	0.999955	638	1	-0.44593
G0135	10	0.002726	0.014599	0.58396	25	3	-0.015142	0.57194	0.62368	0.999955	487	1	-0.015142
G0591	10	0.0028794	0.015342	0.587798	26	6	-0.44089	0.97866	0.97917	0.999955	959	0	-0.44089
G0328	10	0.0030715	0.016272	0.587798	27	6	-0.57642	0.80021	0.79973	0.999955	715	0	-0.57642
G0423	10	0.0034945	0.017926	0.587798	28	3	-0.023977	0.83215	0.83123	0.999955	763	0	-0.023977
G0779	10	0.0035119	0.017975	0.587798	29	3	-0.1706	0.80985	0.80925	0.999955	732	0	-0.1706
G0893	10	0.0037728	0.019045	0.587798	30	6	-0.55923	0.52197	0.59651	0.999955	454	1	-0.55923
G0440	10	0.0038145	0.019302	0.587798	31	6	-0.46544	0.39778	0.53404	0.999955	368	2	-0.46544
G0627	10	0.0039002	0.019698	0.587798	32	3	-0.077496	0.3369	0.46975	0.999955	284	2	-0.077496
G0507	10	0.0039557	0.019985	0.587798	33	7	-0.54649	0.95439	0.95456	0.999955	922	0	-0.54649
G0932	10	0.0039565	0.019985	0.587798	34	5	-0.5584	0.34034	0.47342	0.999955	289	1	-0.5584
G0474	10	0.0042504	0.021361	0.598359	35	7	-0.39878	0.80963	0.809	0.999955	731	0	-0.39878
G0128	10	0.0043835	0.021955	0.598359	36	7	-0.47555	0.44659	0.56166	0.999955	406	1	-0.47555
G0192	10	0.0044909	0.022292	0.598359	37	3	-0.26689	0.77702	0.77673	0.999955	684	0	-0.26689
G0889	10	0.0046056	0.022738	0.598359	38	7	-0.35061	0.91765	0.91701	0.999955	860	0	-0.35061
G0837	10	0.0048537	0.023856	0.611703	39	6	-0.5237	0.66145	0.68011	0.999955	575	1	-0.5237
G0333	10	0.0051987	0.025342	0.63354	40	5	-0.46727	0.90739	0.90695	0.999955	847	0	-0.46727
G0082	10	0.0054864	0.026332	0.642236	41	4	0.13052	0.41898	0.54993	0.999955	387	1	0.13052
G0821	10	0.006481	0.030203	0.689356	42	2	0.065703	0.38823	0.52384	0.999955	356	2	0.065703
G0784	10	0.0064942	0.030252	0.689356	43	6	-0.46795	0.98839	0.989	0.999955	974	0	-0.46795
G0054	10	0.006511	0.030332	0.689356	44	6	-0.52954	0.96554	0.96553	0.999955	939	0	-0.52954
G0624	10	0.0069997	0.032114	0.703918	45	4	-0.21954	0.40387	0.54054	0.999955	376	2	-0.21954
G0017	10	0.0072647	0.033035	0.703918	46	6	-0.28575	0.33609	0.46889	0.999955	282	2	-0.28575
G0866	10	0.0072824	0.033084	0.703918	47	6	-0.48979	0.36202	0.49649	0.999955	318	1	-0.48979
G0533	10	0.0076886	0.034609	0.710952	48	5	-0.77744	0.99896	0.99885	0.999955	993	0	-0.77744
G0198	10	0.007752	0.034837	0.710952	49	4	-0.40416	0.74595	0.74663	0.999955	648	1	-0.40416
G0700	10	0.0084063	0.037153	0.711657	50	5	-0.50839	0.26296	0.39589	0.999955	207	1	-0.50839
G0677	10	0.0084676	0.037401	0.711657	51	3	-0.035956	0.70841	0.71434	0.999955	611	1	-0.035956
G0015	10	0.0084687	0.037411	0.711657	52	4	0.034004	0.67985	0.69291	0.999955	589	1	0.034004
G0264	10	0.0085693	0.037718	0.711657	53	5	-0.40472	0.75848	0.75822	0.999955	662	1	-0.40472
G0415	10	0.0092757	0.040292	0.715497	54	5	-0.36236	0.96873	0.96886	0.999955	948	0	-0.36236
G0344	10	0.0094595	0.040718	0.715497	55	2	-0.093304	0.89012	0.89029	0.999955	835	0	-0.093304
G0960	10	0.0097691	0.041946	0.715497	56	4	-0.28463	0.57796	0.62713	0.999955	494	1	-0.28463
G0793	10	0.0098915	0.042421	0.715497	57	6	-0.48884	0.80208	0.80151	0.999955	719	0	-0.48884
G0728	10	0.0099794	0.042698	0.715497	58	6	-0.41151	0.67661	0.69041	0.999955	585	1	-0.41151
G0317	10	0.010138	0.043114	0.715497	59	4	-0.12694	0.9585	0.95876	0.999955	927	0	-0.12694
G0838	10	0.010263	0.043609	0.715497	60	4	-0.14273	0.042359	0.11137	0.999955	74	3	-0.14273
G0909	10	0.010451	0.044262	0.715497	61	4	-0.28371	0.57519	0.62567	0.999955	490	1	-0.28371
G0670	10	0.010734	0.045272	0.715497	62	5	-0.22031	0.95963	0.95978	0.999955	932	0	-0.22031
G0832	10	0.0111	0.04648	0.715497	63	5	-0.21211	0.83255	0.83159	0.999955	764	0	-0.21211
G0880	10	0.011154	0.046748	0.715497	64	5	-0.26665	0.97632	0.97675	0.999955	956	0	-0.26665
G0383	10	0.011223	0.046985	0.715497	65	5	-0.35335	0.73405	0.73582	0.999955	635	1	-0.35335
G0436	10	0.011284	0.047223	0.715497	66	6	-0.74919	0.99968	0.99959	0.999955	996	0	-0.74919
G0225	10	0.01181	0.049015	0.731565	67	3	-0.52109	0.99573	0.99585	0.999955	985	0	-0.52109
G0011	10	0.012202	0.050312	0.738685	68	4	-0.46638	0.39854	0.53498	0.999955	370	2	-0.46638
G0597	10	0.01243	0.051173	0.738685	69	4	-0.048408	0.38785	0.52337	0.999955	355	2	-0.048408
G0989	10	0.012569	0.051708	0.738685	70	4	-0.027671	0.76778	0.7675	0.999955	674	1	-0.027671
G0944	10	0.013582	0.055173	0.75	71	6	-0.43528	0.64566	0.66937	0.999955	561	1	-0.43528
G0566	10	0.013639	0.055351	0.75	72	5	-0.48153	0.59997	0.6395	0.999955	514	1	-0.48153
G0543	10	0.013739	0.055748	0.75	73	2	0.10205	0.21527	0.34849	0.999955	167	1	0.10205
G0629	10	0.013795	0.055936	0.75	74	5	-0.49666	0.4685	0.57141	0.999955	421	1	-0.49666
G0768	10	0.013882	0.056252	0.75	75	3	-0.33267	0.26372	0.39667	0.999955	209	2	-0.33267
G0539	10	0.014389	0.057965	0.75	76	5	-0.35525	0.36902	0.50452	0.999955	332	2	-0.35525
G0689	10	0.014406	0.058025	0.75	77	5	-0.43885	0.39779	0.53404	0.999955	369	1	-0.43885
G0086	10	0.014576	0.0585	0.75	78	5	-0.31735	0.98751	0.9882	0.999955	971	0	-0.31735
G0430	10	0.014877	0.05946	0.752663	79	5	-0.76073	0.99478	0.99506	0.999955	984	0	-0.76073
G0739	10	0.015135	0.060391	0.754889	80	5	-0.3635	0.16509	0.29989	0.999955	141	2	-0.3635
G0215	10	0.015844	0.062995	0.777717	81	4	-0.2555	0.61843	0.65129	0.999955	533	1	-0.2555
G0406	10	0.016297	0.064579	0.78188	82	6	-0.45729	0.933	0.93304	0.999955	879	0	-0.45729
G0175	10	0.016378	0.064896	0.78188	83	1	0.068093	0.52094	0.59607	0.999955	453	1	0.068093
G0502	10	0.017363	0.068104	0.80486	84	2	-0.28644	0.78567	0.78547	0.999955	700	0	-0.28644
G0703	10	0.017511	0.068579	0.80486	85	6	-0.59279	0.99891	0.9988	0.999955	992	0	-0.59279
G0259	10	0.018347	0.071569	0.80486	86	3	-0.24024	0.63491	0.66207	0.999955	550	1	-0.24024
G0067	10	0.018444	0.071955	0.80486	87	5	-0.36194	0.9618	0.96184	0.999955	936	0	-0.36194
G0863	10	0.018946	0.073955	0.80486	88	5	-0.12796	0.032807	0.091688	0.999955	68	4	-0.12796
G0600	10	0.019119	0.07447	0.80486	89	4	-0.1022	0.47526	0.57443	0.999955	425	1	-0.1022
G0698	10	0.01933	0.075193	0.80486	90	2	-0.18684	0.93104	0.93103	0.999955	878	0	-0.18684
G0228	10	0.019447	0.075658	0.80486	91	5	-0.44063	0.78492	0.78468	0.999955	699	0	-0.44063
G0131	10	0.019605	0.076144	0.80486	92	4	0.19003	0.34541	0.4786	0.999955	296	2	0.19003
G0177	10	0.019771	0.076619	0.80486	93	6	-0.44128	0.98723	0.98793	0.999955	970	0	-0.44128
G0155	10	0.019864	0.076975	0.80486	94	5	-0.28983	0.94807	0.94819	0.999955	909	0	-0.28983
G0735	10	0.019982	0.077411	0.80486	95	6	-0.43368	0.68766	0.69854	0.999955	596	1	-0.43368
G0622	10	0.020312	0.07853	0.80486	96	4	-0.42959	0.97041	0.97038	0.999955	951	0	-0.42959
G0699	10	0.020384	0.078767	0.80486	97	5	-0.4242	0.47805	0.57557	0.999955	427	1	-0.4242
G0509	10	0.020429	0.078876	0.80486	98	5	-0.52833	0.47861	0.57586	0.999955	428	1	-0.52833
G0725	10	0.021201	0.081322	0.816485	99	5	-0.3603	0.74066	0.74173	0.999955	643	1	-0.3603
G0959	10	0.021293	0.081649	0.816485	100	4	0.08211	0.25148	0.38453	0.999955	196	2	0.08211
G0671	10	0.022009	0.083916	0.821268	101	3	-0.18827	0.59733	0.63796	0.999955	511	1	-0.18827
G0663	10	0.022274	0.084738	0.821268	102	3	-0.1206	0.8791	0.87952	0.999955	822	0	-0.1206
G0202	10	0.022702	0.086203	0.821268	103	5	-0.40067	0.67187	0.68734	0.999955	582	1	-0.40067
G0161	10	0.022715	0.086243	0.821268	104	6	-0.44229	0.583	0.62992	0.999955	500	1	-0.44229
G0334	10	0.022892	0.086827	0.821268	105	4	-0.21749	0.57888	0.62766	0.999955	495	1	-0.21749
G0585	10	0.022974	0.087054	0.821268	106	4	-0.44344	0.99774	0.99761	0.999955	988	0	-0.44344
G0508	10	0.023972	0.090074	0.83441	107	3	-0.099261	0.23442	0.36799	0.999955	178	2	-0.099261
G0595	10	0.024232	0.090787	0.83441	108	3	-0.22687	0.9081	0.9076	0.999955	848	0	-0.22687
G0233	10	0.024481	0.091589	0.83441	109	6	-0.44715	0.98968	0.99005	0.999955	975	0	-0.44715
