sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
G0825_8247	G0825	178.31/211.05/159.11/176.25	2328.7/2880.6/1991.3/1969.8	180.24	2264.9	3.6441	471.73	493.27	93.862	1	0	0	0	True
G0825_8242	G0825	63.684/51.245/38.873/63.705	668.15/829.41/503.98/739.7	53.32	674.19	3.6357	142.75	145.92	51.397	1	0	0	0	True
G0825_8250	G0825	26.383/43.828/28.025/29.729	472.08/557.46/457.88/420.77	31.331	474.52	3.8785	64.714	85.745	47.862	1	0	0	0	True
G0825_8241	G0825	63.684/44.502/39.777/59.458	668.15/541.51/463.01/702.18	50.884	585.64	3.4991	133.81	139.26	45.316	1	0	0	0	True
G0825_8246	G0825	42.759/37.759/36.161/44.593	446.44/408.32/615.63/546.73	40.169	497.7	3.5985	16.05	109.93	43.637	1	0	0	0	True
G0825_8244	G0825	43.669/28.994/33.449/29.729	561.07/359.68/356.47/458.29	33.499	426.11	3.63	45.979	91.677	41.005	1	0	0	0	True
G0052_515	G0052	66.413/62.707/55.146/72.199	683.23/584.57/583.88/538.69	63.813	595.35	3.2018	51.141	174.64	40.222	1	0	0	0	True
G0825_8249	G0825	47.308/34.388/33.449/38.223	588.21/403.54/367.74/428.81	37.977	439.85	3.4996	40.169	103.93	39.42	1	0	0	0	True
G0825_8248	G0825	26.383/30.342/22.601/44.593	342.37/327.78/254.04/627.14	29.973	365.67	3.5654	93.708	82.029	37.065	1	5.161e-301	1.0322e-300	1.1469e-297	True
G0825_8243	G0825	24.564/18.88/30.737/33.976	375.55/245.63/453.79/281.41	26.383	329.45	3.5931	45.407	72.203	35.667	1	6.5346e-279	1.3069e-278	1.3069e-275	True
G0052_516	G0052	55.496/60.01/45.202/31.852	419.29/575/354.43/367.17	46.798	420.87	3.1418	158.71	128.07	33.054	1	6.7977e-240	1.3595e-239	1.2359e-236	True
G0052_511	G0052	26.383/25.622/24.409/44.593	235.29/374.03/321.65/391.29	29.291	324.41	3.4253	93.305	80.161	32.962	1	1.4035e-238	2.807e-238	2.3391e-235	True
G0052_513	G0052	28.203/27.645/41.585/91.31	263.94/332.56/371.84/659.3	41.491	383.01	3.1759	950.09	113.55	32.05	1	1.1131e-225	2.2261e-225	1.7124e-222	True
G0035_345	G0035	62.774/51.919/42.49/67.952	564.08/456.97/345.21/450.25	55.387	447.4	2.9913	130.27	151.58	31.84	1	8.9992e-223	1.7998e-222	1.2856e-219	True
G0035_341	G0035	43.669/59.336/33.449/31.852	399.68/469.73/284.77/356.45	40.765	371.55	3.1571	162.09	111.56	31.317	1	1.3509e-215	2.7019e-215	1.8013e-212	True
G0491_4908	G0491	56.405/34.388/24.409/53.087	429.85/324.59/257.11/418.09	39.823	349.96	3.1038	239.35	108.98	29.707	1	3.0836e-194	6.1671e-194	3.8544e-191	True
G0491_4903	G0491	42.759/46.525/46.106/55.211	387.62/403.54/245.84/498.49	47.438	372.1	2.9453	28.307	129.83	28.494	1	7.0196e-179	1.4039e-178	8.2583e-176	True
G0570_5700	G0570	34.571/36.411/20.793/63.705	321.26/282.32/295.01/348.41	35.942	310.73	3.077	334.12	98.364	27.706	1	2.9394e-169	5.8788e-169	3.266e-166	True
G0491_4904	G0491	30.932/60.01/35.257/23.358	310.7/464.95/152.63/281.41	35.168	280.67	2.9612	258.18	96.246	25.024	1	1.6737e-138	3.3474e-138	1.7618e-135	True
G0845_8449	G0845	51.857/62.707/49.722/70.075	271.48/361.27/348.28/501.17	58.018	361.72	2.6196	91.386	158.78	24.102	1	1.1928e-128	2.3855e-128	1.1928e-125	True
G0491_4906	G0491	20.925/25.622/13.56/10.617	294.11/204.96/109.61/115.24	16.674	166.12	3.2412	48.17	45.634	22.123	1	9.5371e-109	1.9074e-108	9.083e-106	True
G0035_342	G0035	21.834/19.554/32.545/29.729	190.04/166.68/242.77/246.57	25.354	208.67	2.992	38.961	69.387	22.007	1	1.2267e-107	2.4533e-107	1.1151e-104	True
G0942_9412	G0942	94.615/114.63/107.58/110.42	431.36/569.42/436.37/490.45	106.54	478.83	2.1577	74.577	291.57	21.803	1	1.091e-105	2.182e-105	9.487e-103	True
G0491_4910	G0491	25.473/26.971/26.217/29.729	144.79/188.21/221.26/278.73	27.051	202.48	2.8587	3.454	74.032	20.388	1	1.0632e-92	2.1265e-92	8.8602e-90	True
G0491_4901	G0491	19.105/16.183/21.697/38.223	263.94/165.08/189.5/134	22.507	182.39	2.9637	99.739	61.596	20.371	1	1.5078e-92	3.0157e-92	1.2063e-89	True
G0035_348	G0035	27.293/18.205/22.601/16.988	226.24/80.548/143.41/294.81	20.901	166.62	2.9361	22.108	57.2	19.267	1	5.1241e-83	1.0248e-82	3.9416e-80	True
G0422_4213	G0422	29.112/23.6/34.353/67.952	173.45/189.81/194.63/399.33	35.594	224.91	2.6261	411.48	97.411	19.182	1	2.6279e-82	5.2558e-82	1.9466e-79	True
G0147_1463	G0147	21.834/24.274/19.889/16.988	173.45/182.63/147.51/152.76	20.572	163.45	2.9305	9.5363	56.3	19.042	1	3.8081e-81	7.6161e-81	2.72e-78	True
G0570_5696	G0570	19.105/12.811/20.793/14.864	174.96/78.156/167.99/168.84	16.586	140.34	3.0067	13.752	45.392	18.369	1	1.1813e-75	2.3627e-75	8.1471e-73	True
G0491_4907	G0491	15.466/17.531/18.985/23.358	120.66/180.24/172.09/131.32	18.622	148.9	2.9334	11.238	50.964	18.248	1	1.0738e-74	2.1475e-74	7.1584e-72	True
G0052_519	G0052	10.917/19.554/10.848/2.1235	107.09/128.4/120.87/50.921	8.4207	95.922	3.3629	58.576	23.045	18.227	1	1.633e-74	3.266e-74	1.0535e-71	True
G0147_1467	G0147	27.293/19.554/27.121/44.593	193.05/140.36/206.92/225.13	28.348	188.49	2.6908	114.62	77.582	18.181	1	3.6234e-74	7.2469e-74	2.2646e-71	True
G0570_5691	G0570	38.21/24.274/31.641/31.852	327.29/129.99/158.77/230.49	31.095	198.65	2.637	32.675	85.1	18.163	1	5.0766e-74	1.0153e-73	3.0768e-71	True
G0845_8442	G0845	49.127/39.108/46.106/27.605	221.71/241.65/185.41/270.69	39.547	227.72	2.4959	92.531	108.23	18.087	1	2.0064e-73	4.0128e-73	1.1802e-70	True
G0570_5692	G0570	25.473/26.297/18.985/14.864	200.6/197.78/123.95/123.28	20.854	156.92	2.8532	30.11	57.072	18.011	1	8.0781e-73	1.6156e-72	4.6161e-70	True
G0035_346	G0035	24.564/12.137/18.985/19.111	156.86/161.89/158.77/107.2	18.139	144.19	2.9234	26.321	49.641	17.891	1	6.997e-72	1.3994e-71	3.8872e-69	True
G0897_8961	G0897	33.661/35.062/37.969/44.593	297.12/181.83/196.68/190.28	37.599	212.05	2.4646	23.667	102.9	17.198	1	1.3751e-66	2.7502e-66	7.4331e-64	True
G0897_8966	G0897	30.022/33.039/20.793/31.852	170.43/173.86/141.36/230.49	28.471	176.27	2.5886	31.221	77.919	16.744	1	3.1458e-63	6.2916e-63	1.6557e-60	True
G0147_1470	G0147	24.564/24.948/21.697/27.605	187.02/202.57/192.58/93.802	24.614	161.75	2.6676	5.8576	67.363	16.708	1	5.7133e-63	1.1427e-62	2.9299e-60	True
G0052_520	G0052	9.0976/2.0228/12.656/23.358	120.66/20.735/102.44/251.93	8.6429	89.696	3.2335	92.23	23.653	16.666	1	1.2069e-62	2.4138e-62	6.0345e-60	True
G0052_514	G0052	17.286/6.7427/15.369/8.494	150.82/99.689/187.46/37.521	11.114	101.43	3.0799	27.387	30.416	16.376	1	1.4427e-60	2.8855e-60	7.0377e-58	True
G0147_1466	G0147	30.932/14.834/22.601/10.617	197.58/129.99/172.09/72.362	18.224	133.74	2.8092	83.332	49.875	16.357	1	1.9574e-60	3.9148e-60	9.3209e-58	True
G0052_518	G0052	7.2781/11.463/15.369/8.494	64.854/80.548/157.75/80.402	10.22	90.226	3.0234	13.229	27.968	15.128	1	5.4032e-52	1.0806e-51	2.5131e-49	True
G0422_4219	G0422	22.744/22.925/19.889/12.741	140.27/145.15/122.92/99.162	19.069	125.51	2.6563	23.031	52.186	14.735	1	1.932e-49	3.864e-49	8.7819e-47	True
G0799_7988	G0799	48.218/35.062/28.929/42.47	232.27/152.32/193.6/174.2	37.965	185.86	2.2617	71.827	103.9	14.509	1	5.3005e-48	1.0601e-47	2.3558e-45	True
G0422_4214	G0422	30.932/33.039/30.737/27.605	173.45/231.28/187.46/93.802	30.516	162.97	2.3793	5.0201	83.514	14.494	1	6.5715e-48	1.3143e-47	2.8572e-45	True
