"gene","knockdown","theo_phenotype","obs_phenotype","behavior","class","initial_freq","counts_bin1","barcodeid","freqs_bin1","rel_freqs_bin1","freqs_bin2","counts_bin2","rel_freqs_bin2","log2fc_bin2"
1,1.0,0.10527456102315713,0.04597152534147675,"sigmoidal","increasing",1.5408320493066255e-5,95.5,1,9.66110268082954e-6,0.12914131169709264,2.7387862796833772e-5,259.5,0.36217725052337746,1.4877453431590537
1,1.0,0.10527456102315713,0.6069657671866834,"sigmoidal","increasing",3.081664098613251e-5,224.5,2,2.2711178553363684e-5,0.30358350236646386,2.358839050131926e-5,223.5,0.31193300767620374,0.03914282927909271
1,1.0,0.10527456102315713,1.690559314418363,"sigmoidal","increasing",0.00010272213662044171,868.5,3,8.786039453717755e-5,1.1744421906693714,0.00012385224274406333,1173.5,1.6378227494766222,0.4798035306496991
1,1.0,0.10527456102315713,-0.6126464716255421,"sigmoidal","increasing",0.00011813045711350796,880.5,4,8.907435508345978e-5,1.1906693711967546,0.0001287071240105541,1219.5,1.702023726448011,0.5154782918018973
1,1.0,0.10527456102315713,1.6208165221090702,"sigmoidal","increasing",4.108885464817668e-5,259.5,5,2.6251896813353566e-5,0.3509127789046654,4.142480211081794e-5,392.5,0.5478018143754361,0.6425415582580302
1,1.0,0.10527456102315713,0.7911105262706728,"sigmoidal","increasing",1.027221366204417e-5,35.5,6,3.5912999494183106e-6,0.0480054090601758,1.387862796833773e-5,131.5,0.18353105373342635,1.9347553126245418
1,1.0,0.10527456102315713,-0.47235566669089624,"sigmoidal","increasing",2.054442732408834e-5,189.5,7,1.9170460293373798e-5,0.25625422582826235,2.8232189973614774e-5,267.5,0.3733426378227494,0.5429244859543393
1,1.0,0.10527456102315713,1.7764456493719882,"sigmoidal","increasing",8.731381612737545e-5,816.5,8,8.259989883662114e-5,1.1041244083840434,0.00010728232189973615,1016.5,1.4187020237264478,0.3616688671199593
1,1.0,0.10527456102315713,1.8952890238702533,"sigmoidal","increasing",0.00011813045711350796,1041.5,9,0.00010536165907941325,1.4083840432724815,0.00014939313984168866,1415.5,1.9755757152826237,0.48823235270202203
1,1.0,0.10527456102315713,0.7087171972299713,"sigmoidal","increasing",3.081664098613251e-5,223.5,10,2.261001517450683e-5,0.3022312373225153,3.2031662269129286e-5,303.5,0.42358688066992317,0.4870051279092859
