"","gene","sgRNA","class","L1","L2","L3","L4","H1","H2","H3","H4"
"1","G0001","G0001_01","inactive",5,14,15,25,5,20,15,16
"2","G0001","G0001_02","inactive",175,194,130,193,180,182,138,191
"3","G0001","G0001_03","inactive",15,58,40,31,22,49,38,51
"4","G0001","G0001_04","inactive",29,53,74,41,38,50,91,48
"5","G0001","G0001_05","inactive",36,48,71,75,42,46,46,84
"6","G0001","G0001_06","inactive",113,71,108,82,104,60,90,78
"7","G0001","G0001_07","inactive",23,20,24,37,20,26,23,50
"8","G0001","G0001_08","inactive",221,246,217,309,222,251,207,343
"9","G0001","G0001_09","inactive",43,11,67,66,42,9,67,58
"10","G0001","G0001_10","inactive",18,84,13,23,29,69,11,43
"11","G0002","G0002_01","inactive",76,92,52,139,98,88,60,134
"12","G0002","G0002_02","inactive",61,131,56,98,93,124,58,98
"13","G0002","G0002_03","inactive",52,77,86,48,58,81,71,67
"14","G0002","G0002_04","inactive",194,187,165,233,231,156,167,277
"15","G0002","G0002_05","inactive",43,24,4,19,55,16,7,28
"16","G0002","G0002_06","inactive",36,30,22,64,30,28,17,75
"17","G0002","G0002_07","inactive",14,44,34,31,31,33,21,23
"18","G0002","G0002_08","inactive",46,30,40,56,44,26,32,59
"19","G0002","G0002_09","inactive",55,42,36,57,95,42,48,34
"20","G0002","G0002_10","inactive",245,314,233,259,269,321,303,305
"21","G0003","G0003_01","inactive",155,210,308,224,212,189,287,251
"22","G0003","G0003_02","inactive",62,92,94,82,74,74,70,98
"23","G0003","G0003_03","inactive",63,18,47,46,82,31,36,35
"24","G0003","G0003_04","inactive",62,39,82,36,57,37,80,53
"25","G0003","G0003_05","inactive",21,45,56,103,32,53,64,90
"26","G0003","G0003_06","inactive",37,29,31,49,51,25,34,52
"27","G0003","G0003_07","inactive",132,127,140,218,133,129,156,236
"28","G0003","G0003_08","inactive",66,70,66,82,58,71,80,107
"29","G0003","G0003_09","inactive",12,9,18,37,19,3,33,36
"30","G0003","G0003_10","inactive",139,146,132,205,186,103,104,198
"31","G0004","G0004_01","inactive",43,34,32,44,31,41,40,63
"32","G0004","G0004_02","inactive",316,422,278,297,379,377,266,371
"33","G0004","G0004_03","inactive",363,406,304,448,396,381,347,490
"34","G0004","G0004_04","inactive",53,69,34,38,50,59,53,38
"35","G0004","G0004_05","inactive",14,21,12,43,30,9,10,47
"36","G0004","G0004_06","inactive",128,129,119,85,170,181,138,121
"37","G0004","G0004_07","inactive",48,87,47,100,73,82,59,146
"38","G0004","G0004_08","inactive",138,127,128,99,169,110,129,101
"39","G0004","G0004_09","inactive",17,32,8,18,15,33,9,24
"40","G0004","G0004_10","inactive",100,114,86,119,133,103,102,151
"41","G0005","G0005_01","inactive",76,91,93,102,85,89,87,116
"42","G0005","G0005_02","inactive",161,167,119,211,210,187,165,225
"43","G0005","G0005_03","inactive",51,67,31,78,48,81,29,95
"44","G0005","G0005_04","inactive",127,238,179,256,180,221,165,270
"45","G0005","G0005_05","inactive",122,123,122,86,150,133,135,94
"46","G0005","G0005_06","inactive",64,102,58,98,76,98,59,107
"47","G0005","G0005_07","inactive",79,139,73,106,108,130,104,142
"48","G0005","G0005_08","inactive",33,49,20,67,39,47,20,77
"49","G0005","G0005_09","inactive",199,175,130,237,244,202,125,292
"50","G0005","G0005_10","inactive",18,18,13,13,39,24,18,26
"51","G0006","G0006_01","inactive",42,45,12,41,68,53,19,46
"52","G0006","G0006_02","inactive",32,22,8,22,18,21,15,22
"53","G0006","G0006_03","inactive",29,57,23,40,31,45,25,47
"54","G0006","G0006_04","inactive",92,51,76,133,94,49,91,149
"55","G0006","G0006_05","inactive",52,65,33,53,56,54,33,66
"56","G0006","G0006_06","inactive",26,27,29,23,13,21,32,22
"57","G0006","G0006_07","inactive",86,140,130,111,92,129,134,153
"58","G0006","G0006_08","inactive",12,43,41,35,17,48,56,48
"59","G0006","G0006_09","inactive",48,61,89,60,65,77,94,70
"60","G0006","G0006_10","inactive",129,273,215,200,140,214,250,213
"61","G0007","G0007_01","inactive",62,33,64,43,67,32,73,51
"62","G0007","G0007_02","inactive",58,73,71,118,100,44,102,119
"63","G0007","G0007_03","inactive",81,99,54,92,111,87,54,119
"64","G0007","G0007_04","inactive",60,51,73,105,53,63,59,116
"65","G0007","G0007_05","inactive",49,113,112,89,50,97,95,93
"66","G0007","G0007_06","inactive",35,33,28,74,25,25,44,105
"67","G0007","G0007_07","inactive",106,89,96,130,98,97,95,152
"68","G0007","G0007_08","inactive",105,113,60,144,117,112,97,127
"69","G0007","G0007_09","inactive",45,113,71,79,62,90,87,95
"70","G0007","G0007_10","inactive",110,193,106,153,101,175,172,184
"71","G0008","G0008_01","inactive",101,147,114,107,116,116,133,145
"72","G0008","G0008_02","inactive",26,47,23,81,36,55,37,64
"73","G0008","G0008_03","inactive",269,329,210,300,230,246,213,342
"74","G0008","G0008_04","inactive",47,81,44,37,74,87,55,42
"75","G0008","G0008_05","inactive",87,120,74,116,108,89,107,107
"76","G0008","G0008_06","inactive",70,128,101,190,126,90,91,211
"77","G0008","G0008_07","inactive",79,197,103,187,87,174,148,201
"78","G0008","G0008_08","inactive",323,251,295,371,364,188,321,392
"79","G0008","G0008_09","inactive",30,35,37,55,37,29,34,56
"80","G0008","G0008_10","inactive",70,103,73,87,79,116,73,96
"81","G0009","G0009_01","inactive",66,87,76,106,84,75,79,122
"82","G0009","G0009_02","inactive",78,62,101,91,118,52,114,80
"83","G0009","G0009_03","inactive",91,80,75,86,73,72,81,90
"84","G0009","G0009_04","inactive",85,71,44,55,94,73,60,84
"85","G0009","G0009_05","inactive",140,300,149,238,189,238,171,292
"86","G0009","G0009_06","inactive",59,42,74,69,94,56,63,70
"87","G0009","G0009_07","inactive",27,52,49,53,22,37,77,47
"88","G0009","G0009_08","inactive",13,55,9,17,14,61,5,30
"89","G0009","G0009_09","inactive",86,95,82,97,89,91,94,109
"90","G0009","G0009_10","inactive",14,14,13,5,17,8,8,13
"91","G0010","G0010_01","inactive",59,72,58,16,61,50,47,40
"92","G0010","G0010_02","inactive",526,599,493,575,615,599,527,643
"93","G0010","G0010_03","inactive",31,55,39,57,37,54,38,71
"94","G0010","G0010_04","inactive",32,67,46,64,43,78,37,48
"95","G0010","G0010_05","inactive",76,140,76,58,109,120,76,63
"96","G0010","G0010_06","inactive",32,84,32,85,67,66,42,87
"97","G0010","G0010_07","inactive",207,160,104,286,271,130,121,263
"98","G0010","G0010_08","inactive",77,84,69,110,84,76,72,79
"99","G0010","G0010_09","inactive",52,102,114,147,65,106,115,194
"100","G0010","G0010_10","inactive",43,90,77,57,51,83,98,47
"101","G0011","G0011_01","inactive",33,72,56,77,47,63,58,106
"102","G0011","G0011_02","inactive",6,18,10,9,11,18,15,18
"103","G0011","G0011_03","inactive",275,417,344,353,318,426,383,424
"104","G0011","G0011_04","inactive",48,62,91,70,50,55,68,63
"105","G0011","G0011_05","inactive",48,96,38,23,65,63,52,36
"106","G0011","G0011_06","inactive",171,206,203,222,218,185,177,261
"107","G0011","G0011_07","inactive",171,198,118,169,231,171,116,196
"108","G0011","G0011_08","inactive",16,37,29,54,6,29,48,70
"109","G0011","G0011_09","inactive",112,155,144,251,171,159,175,222
"110","G0011","G0011_10","inactive",26,44,56,17,29,74,45,40
"111","G0012","G0012_01","inactive",28,41,74,46,37,31,65,52
"112","G0012","G0012_02","inactive",81,155,138,103,109,158,171,135
"113","G0012","G0012_03","inactive",25,43,20,5,45,23,21,2
