"","gene","sgRNA","class","L1","L2","L3","L4","L5","L6","L7","L8","H1","H2","H3","H4","H5","H6","H7","H8"
"1","G0001","G0001_01","inactive",708,676,582,952,805,532,908,607,717,679,683,814,798,412,806,605
"2","G0001","G0001_02","inactive",160,113,256,177,288,226,269,167,233,100,269,183,284,298,281,180
"3","G0001","G0001_03","inactive",1288,1022,1165,616,1155,1232,926,1331,1118,1059,1313,606,1051,1343,932,1360
"4","G0001","G0001_04","inactive",1475,1311,1345,1392,891,1115,944,1111,1084,1193,1411,1267,1002,1038,886,1149
"5","G0001","G0001_05","inactive",651,490,874,328,762,443,366,610,572,479,875,291,716,400,375,625
"6","G0001","G0001_06","inactive",943,1173,1494,1152,872,995,1093,931,935,1051,1695,1237,701,947,1060,1217
"7","G0001","G0001_07","inactive",257,566,375,303,554,560,460,443,198,445,434,257,487,472,566,400
"8","G0001","G0001_08","inactive",997,897,1038,1019,437,971,810,1066,974,749,866,866,339,869,919,1077
"9","G0001","G0001_09","inactive",1833,1438,1385,1484,1899,1576,1603,1716,1743,1397,1630,1394,1881,1714,1458,1911
"10","G0001","G0001_10","inactive",740,819,1128,354,653,875,585,683,801,677,1239,426,565,1035,790,726
"11","G0002","G0002_01","inactive",989,1265,1305,908,767,1233,477,1209,972,1136,1382,965,775,1391,501,1448
"12","G0002","G0002_02","inactive",1049,991,605,647,1070,629,936,899,914,919,718,674,1030,649,1001,935
"13","G0002","G0002_03","inactive",3607,3237,2971,2776,2753,2870,2855,2865,3492,3323,3068,2561,2527,2760,2813,3120
"14","G0002","G0002_04","inactive",750,455,1057,867,698,740,746,901,677,423,973,764,857,762,676,963
"15","G0002","G0002_05","inactive",1926,1368,1078,1591,1482,1132,1560,920,1869,1113,1224,1539,1405,922,1291,822
"16","G0002","G0002_06","inactive",478,542,657,688,734,944,607,714,464,448,602,630,678,1045,587,785
"17","G0002","G0002_07","inactive",229,340,312,318,603,288,621,270,232,327,358,312,763,175,634,289
"18","G0002","G0002_08","inactive",824,655,543,539,414,633,663,964,683,693,505,654,339,712,615,984
"19","G0002","G0002_09","inactive",724,701,475,929,678,1148,1059,732,696,579,465,943,639,1189,745,705
"20","G0002","G0002_10","inactive",1618,1383,1514,1333,1571,1592,1142,1715,1766,1407,1674,1209,1542,1711,1169,1817
"21","G0003","G0003_01","inactive",291,430,469,436,245,474,345,279,298,411,434,327,301,541,351,318
"22","G0003","G0003_02","inactive",3035,3391,2899,2472,2696,3160,2872,2519,2970,3459,2849,2116,2686,3115,2899,2673
"23","G0003","G0003_03","inactive",618,634,491,429,652,198,447,549,603,586,519,345,614,170,483,517
"24","G0003","G0003_04","inactive",851,1271,1379,1608,997,1088,1310,1299,849,1506,1501,1656,1111,1121,1126,1266
"25","G0003","G0003_05","inactive",628,957,1300,1375,979,1355,1082,1008,689,936,1260,1353,906,1330,1240,1220
"26","G0003","G0003_06","inactive",818,547,703,646,499,652,513,639,762,559,879,474,521,678,427,762
"27","G0003","G0003_07","inactive",585,590,428,482,563,480,758,375,577,721,420,550,566,528,782,368
"28","G0003","G0003_08","inactive",938,1049,728,607,1329,1239,979,1127,1170,730,853,674,1255,1366,952,1179
"29","G0003","G0003_09","inactive",754,1225,637,1050,1081,663,1006,1115,806,1113,580,1178,999,599,876,1166
"30","G0003","G0003_10","inactive",357,148,183,240,435,162,96,207,334,115,191,289,375,118,93,186
"31","G0004","G0004_01","decreasing",1337,882,655,1184,1449,1175,1137,1269,318,290,186,346,337,308,255,297
"32","G0004","G0004_02","decreasing",2335,2075,1668,1858,2144,1391,2001,2580,617,455,431,389,373,331,532,729
"33","G0004","G0004_03","decreasing",968,754,371,1027,973,720,801,437,881,465,405,883,541,724,663,344
"34","G0004","G0004_04","decreasing",1302,520,439,426,636,468,1317,881,303,112,115,213,125,63,219,189
"35","G0004","G0004_05","decreasing",2003,1621,2081,1482,2908,3340,2153,1984,586,464,602,455,680,643,468,625
"36","G0004","G0004_06","decreasing",671,944,577,726,772,673,530,1306,251,285,165,129,218,175,158,282
"37","G0004","G0004_07","decreasing",1348,1472,1486,1228,1131,1239,1682,1685,360,407,297,236,347,350,360,571
"38","G0004","G0004_08","decreasing",2851,1457,1862,2008,2296,2127,1840,2231,731,354,495,370,520,530,448,580
"39","G0004","G0004_09","decreasing",760,881,1142,927,148,480,1081,569,242,187,180,182,35,135,282,161
"40","G0004","G0004_10","decreasing",766,947,624,456,486,317,838,555,89,378,127,163,75,65,259,52
"41","G0005","G0005_01","increasing",700,947,1191,652,821,605,838,1083,4829,4202,5433,4272,4273,3450,4309,4817
"42","G0005","G0005_02","increasing",736,802,433,558,581,427,796,510,3740,3869,2974,3024,3341,2689,4310,3876
"43","G0005","G0005_03","increasing",336,204,237,188,370,422,245,274,1517,1207,1780,1103,1224,3027,2059,1870
"44","G0005","G0005_04","increasing",102,237,140,310,128,68,96,76,371,866,437,903,593,669,762,447
"45","G0005","G0005_05","increasing",2320,1871,2174,1530,1973,2009,2096,1905,2339,1766,2500,1474,1863,2086,1984,2095
"46","G0005","G0005_06","increasing",516,404,478,451,386,433,436,358,2367,2447,2429,1724,2156,2564,2717,2332
"47","G0005","G0005_07","increasing",58,69,160,122,142,124,38,145,264,826,741,703,345,851,296,852
"48","G0005","G0005_08","increasing",94,258,188,181,125,150,167,187,725,1237,1111,1565,739,1043,1019,1552
"49","G0005","G0005_09","increasing",331,211,300,514,349,329,215,326,2277,1851,1773,2112,1711,1926,1125,2413
"50","G0005","G0005_10","increasing",112,266,389,231,296,238,88,133,1236,946,1527,1038,1800,1365,796,889
"51","G0006","G0006_01","inactive",1660,926,1341,1359,1048,1339,1129,1469,1567,902,1499,1326,952,1137,900,1410
"52","G0006","G0006_02","inactive",999,1808,1592,1929,1787,1522,2133,2003,978,1880,1734,1719,1701,1263,1859,1989
"53","G0006","G0006_03","inactive",817,903,1249,646,848,753,833,1243,946,811,1401,598,957,774,924,1226
"54","G0006","G0006_04","inactive",269,296,257,166,719,106,382,610,146,319,300,109,755,68,310,520
"55","G0006","G0006_05","inactive",192,611,679,332,538,609,362,820,272,602,851,311,462,621,403,784
"56","G0006","G0006_06","inactive",1399,1067,940,704,1301,1196,1572,1325,1294,1184,902,712,1337,1155,1386,1424
"57","G0006","G0006_07","inactive",1786,2129,2324,2285,1800,2575,2273,2591,2045,2191,2573,2106,1862,2449,2275,2844
"58","G0006","G0006_08","inactive",427,443,929,648,408,709,546,241,553,455,1028,595,440,775,563,339
"59","G0006","G0006_09","inactive",1814,1975,1879,2340,2034,2222,1619,1779,1822,1913,1882,2373,1926,2213,1572,2047
"60","G0006","G0006_10","inactive",516,653,904,592,594,945,614,493,469,610,1084,543,596,775,661,503
"61","G0007","G0007_01","decreasing",480,485,492,422,186,441,602,225,46,97,91,88,17,38,50,17
"62","G0007","G0007_02","decreasing",543,334,1005,1167,748,909,150,302,130,86,146,175,103,117,61,63
"63","G0007","G0007_03","decreasing",3755,3676,3775,5163,3627,3824,3161,3998,764,575,653,713,623,752,495,708
"64","G0007","G0007_04","decreasing",284,451,651,377,0,668,748,207,61,81,69,36,0,131,39,31
"65","G0007","G0007_05","decreasing",1890,2386,1569,1672,2054,3115,1260,1749,214,374,284,254,421,378,225,343
"66","G0007","G0007_06","decreasing",827,966,781,710,694,572,833,915,169,94,167,111,120,78,114,79
"67","G0007","G0007_07","decreasing",3844,3558,4850,4504,5180,4747,4122,3378,598,866,898,652,667,617,659,609
"68","G0007","G0007_08","decreasing",2520,2393,3438,2265,1816,2045,1694,1914,296,469,589,387,394,508,218,265
"69","G0007","G0007_09","decreasing",1557,2666,1934,1321,2200,1347,2715,1505,271,298,342,178,206,298,424,313
"70","G0007","G0007_10","decreasing",1164,1216,1038,1202,766,994,664,1455,137,166,269,151,154,132,124,328
"71","G0008","G0008_01","decreasing",1726,1622,1297,864,2002,1780,2168,1648,44,101,34,46,115,106,105,80
"72","G0008","G0008_02","decreasing",1846,1421,2041,2851,2174,1088,2317,2316,18,93,113,148,72,92,72,105
"73","G0008","G0008_03","decreasing",2773,1276,1736,805,1737,1612,1274,617,94,125,117,19,171,95,99,54
"74","G0008","G0008_04","decreasing",421,546,536,488,268,257,1005,589,1,0,104,10,2,9,78,23
"75","G0008","G0008_05","decreasing",589,337,230,446,328,329,439,387,541,262,289,389,254,192,371,413
"76","G0008","G0008_06","decreasing",135,233,411,221,274,657,546,480,9,11,32,29,15,71,43,10
"77","G0008","G0008_07","decreasing",2489,1964,2991,2556,1528,1151,1358,953,170,127,159,88,70,193,162,134
"78","G0008","G0008_08","decreasing",1158,1706,1701,558,768,1052,1882,1075,68,26,14,8,33,46,31,58
"79","G0008","G0008_09","decreasing",1970,549,1722,286,935,1088,714,836,144,4,72,58,78,33,78,78
"80","G0008","G0008_10","decreasing",5807,4034,5302,4941,3715,4268,4498,5503,176,344,375,431,359,287,381,293
"81","G0009","G0009_01","decreasing",591,1108,754,630,540,812,974,380,317,641,548,473,330,697,595,348
"82","G0009","G0009_02","decreasing",651,949,690,839,619,556,851,355,444,513,477,553,409,583,527,275
"83","G0009","G0009_03","decreasing",178,681,446,620,671,518,456,771,137,438,352,350,381,278,288,515
"84","G0009","G0009_04","decreasing",2233,1645,1490,1769,1820,1262,1242,1729,1889,1506,1629,1823,1422,1145,1080,1763
"85","G0009","G0009_05","decreasing",185,365,568,212,708,187,489,302,186,392,523,218,638,218,409,319
"86","G0009","G0009_06","decreasing",2065,2229,1735,2629,1503,1577,2207,1849,1341,1445,1255,1885,862,999,1331,1353
"87","G0009","G0009_07","decreasing",711,328,312,310,257,364,381,401,490,222,167,233,134,236,284,239
"88","G0009","G0009_08","decreasing",383,599,414,693,261,461,620,329,326,389,281,349,203,300,446,198
"89","G0009","G0009_09","decreasing",792,723,575,625,1216,1555,691,1113,470,476,415,294,746,779,412,778
